"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","1.10","G, 7, 59, 172","","","","","","","","","","","2.35","G, 13, 59, 172","","","","","1.12","G, 16, 59, 172","","","","","0.37","G, 19, 59, 172","","","","","","","1.06","G, 23, 59, 172","","","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.44","M, 11, 60","1.36","M, 12, 60","1.53","M, 13, 60","1.49","M, 14, 60","1.35","M, 15, 60","1.23","M, 16, 60","1.08","M, 17, 60","1.02","M, 18, 60","0.84","M, 19, 60","0.78","M, 20, 60","0.85","M, 21, 60","0.83","M, 22, 60","0.80","M, 23, 60","0.73","M, 24, 60","0.66","M, 25, 60","0.67","M, 26, 60","0.67","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","2.33","M, 11, 60","2.24","M, 12, 60","2.46","M, 13, 60","2.43","M, 14, 60","2.24","M, 15, 60","2.07","M, 16, 60","1.87","M, 17, 60","1.80","M, 18, 60","1.54","M, 19, 60","1.46","M, 20, 60","1.58","M, 21, 60","1.54","M, 22, 60","1.50","M, 23, 60","1.38","M, 24, 60","1.27","M, 25, 60","1.28","M, 26, 60","1.28","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.61","M, 11, 60","0.43","M, 12, 60","0.70","M, 13, 60","0.65","M, 14, 60","0.57","M, 15, 60","0.50","M, 16, 60","0.45","M, 17, 60","0.39","M, 18, 60","0.35","M, 19, 60","0.33","M, 20, 60","0.36","M, 21, 60","0.36","M, 22, 60","0.32","M, 23, 60","0.32","M, 24, 60","0.28","M, 25, 60","0.29","M, 26, 60","0.30","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.68","M, 11, 60","0.60","M, 12, 60","0.70","M, 13, 60","0.65","M, 14, 60","0.58","M, 15, 60","0.53","M, 16, 60","0.49","M, 17, 60","0.42","M, 18, 60","0.41","M, 19, 60","0.38","M, 20, 60","0.37","M, 21, 60","0.34","M, 22, 60","0.32","M, 23, 60","0.28","M, 24, 60","0.26","M, 25, 60","0.26","M, 26, 60","0.25","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.81","M, 11, 60","0.84","M, 12, 60","0.86","M, 13, 60","0.83","M, 14, 60","0.76","M, 15, 60","0.71","M, 16, 60","0.64","M, 17, 60","0.61","M, 18, 60","0.53","M, 19, 60","0.51","M, 20, 60","0.54","M, 21, 60","0.53","M, 22, 60","0.52","M, 23, 60","0.50","M, 24, 60","0.47","M, 25, 60","0.47","M, 26, 60","0.46","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.58","M, 11, 60","0.46","M, 12, 60","0.59","M, 13, 60","0.52","M, 14, 60","0.46","M, 15, 60","0.40","M, 16, 60","0.38","M, 17, 60","0.29","M, 18, 60","0.32","M, 19, 60","0.30","M, 20, 60","0.25","M, 21, 60","0.20","M, 22, 60","0.18","M, 23, 60","0.13","M, 24, 60","0.10","M, 25, 60","0.11","M, 26, 60","0.11","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.52","M, 11, 60","0.45","M, 12, 60","0.52","M, 13, 60","0.46","M, 14, 60","0.42","M, 15, 60","0.39","M, 16, 60","0.38","M, 17, 60","0.32","M, 18, 60","0.34","M, 19, 60","0.32","M, 20, 60","0.29","M, 21, 60","0.26","M, 22, 60","0.25","M, 23, 60","0.21","M, 24, 60","0.20","M, 25, 60","0.20","M, 26, 60","0.20","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.42","M, 11, 60","0.42","M, 12, 60","0.44","M, 13, 60","0.42","M, 14, 60","0.40","M, 15, 60","0.39","M, 16, 60","0.38","M, 17, 60","0.38","M, 18, 60","0.37","M, 19, 60","0.37","M, 20, 60","0.37","M, 21, 60","0.37","M, 22, 60","0.38","M, 23, 60","0.37","M, 24, 60","0.37","M, 25, 60","0.36","M, 26, 60","0.35","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","ALB","Albania","","","","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.58","M, 11, 60","0.47","M, 12, 60","0.57","M, 13, 60","0.49","M, 14, 60","0.44","M, 15, 60","0.38","M, 16, 60","0.37","M, 17, 60","0.28","M, 18, 60","0.32","M, 19, 60","0.29","M, 20, 60","0.24","M, 21, 60","0.18","M, 22, 60","0.16","M, 23, 60","0.10","M, 24, 60","0.08","M, 25, 60","0.08","M, 26, 60","0.08","M, 27, 60"
