"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_UEMP","SD","Proportion of unemployed receiving unemployment benefits","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.10","E, 22, 52, 91","","","","","",""
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","<5.0","E, 26, 54","<5.0","E, 27, 54","<5.0","E, 28, 54","<5.0","E, 29, 54","<5.0","E, 30, 54","<5.0","E, 31, 54","<5.0","E, 32, 54","<5.0","E, 33, 54","<5.0","E, 34, 54","<5.0","E, 35, 54","<5.0","E, 36, 54","<5.0","E, 37, 54","<5.0","E, 38, 54","<5.0","E, 39, 54","<5.0","E, 40, 54","<5.0","E, 41, 54","<5.0","E, 42, 54","<5.0","E, 43, 54","<5.0","E, 44, 54","<5.0","E, 45, 54","<5.0","E, 46, 54","<5.0","E, 47, 54","<5.0","E, 48, 54, 92","<5.0","E, 49, 54, 92","<5.0","E, 50, 54, 92","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_IMRT","+","Infant mortality rate","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","under 1 year old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 live births","Units","","","","","","","","","","","","","","","","","","","","","3.90","9, 55","3.70","10, 55","3.50","11, 55","3.30","12, 55","3.20","13, 55","3.10","14, 55","2.90","15, 55","2.80","16, 55","2.70","17, 55","2.60","18, 55","2.50","19, 55","2.40","20, 55","2.30","21, 55","2.20","22, 55","2.10","23, 55","2.10","24, 55","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_IMRTN","+","Number of infant deaths","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","under 1 year old","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","3.00","9, 55","2.00","10, 55","2.00","11, 55","2.00","12, 55","2.00","13, 55","2.00","14, 55","2.00","15, 55","2.00","16, 55","2.00","17, 55","2.00","18, 55","2.00","19, 55","2.00","20, 55","2.00","21, 55","2.00","22, 55","2.00","23, 55","2.00","24, 55","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_MORT","SD","Under-five mortality rate","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 live births","Units","","","","","","","","","","","","","","","","","","","","","4.60","9, 55","4.40","10, 55","4.20","11, 55","4.10","12, 55","4.00","13, 55","3.90","14, 55","3.70","15, 55","3.60","16, 55","3.50","17, 55","3.40","18, 55","3.30","19, 55","3.20","20, 55","3.10","21, 55","3.00","22, 55","2.90","23, 55","2.80","24, 55","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_MORTN","+","Number of under-five deaths","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","3.00","9, 55","3.00","10, 55","3.00","11, 55","3.00","12, 55","3.00","13, 55","3.00","14, 55","2.00","15, 55","2.00","16, 55","2.00","17, 55","2.00","18, 55","2.00","19, 55","2.00","20, 55","2.00","21, 55","2.00","22, 55","2.00","23, 55","2.00","24, 55","",""
"3","3.2","3.2.2","C030202","Neonatal mortality rate","SH_DYN_NMRT","SD","Neonatal mortality rate","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","under 1 month old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 live births","Units","","","","","","","","","","","","","","","","","","","","","2.20","9, 55","2.10","10, 55","2.10","11, 55","2.00","12, 55","2.00","13, 55","1.90","14, 55","1.90","15, 55","1.80","16, 55","1.80","17, 55","1.70","18, 55","1.70","19, 55","1.60","20, 55","1.60","21, 55","1.50","22, 55","1.50","23, 55","1.40","24, 55","",""
"3","3.2","3.2.2","C030202","Neonatal mortality rate","SH_DYN_NMRTN","+","Number of neonatal deaths","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","under 1 month old","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","2.00","9, 55","1.00","10, 55","1.00","11, 55","1.00","12, 55","1.00","13, 55","1.00","14, 55","1.00","15, 55","1.00","16, 55","1.00","17, 55","1.00","18, 55","1.00","19, 55","1.00","20, 55","1.00","21, 55","1.00","22, 55","1.00","23, 55","1.00","24, 55","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","21.00","E, 9, 56, 95","17.00","E, 10, 56, 95","8.10","E, 11, 56, 95","17.00","E, 12, 56, 95","10.00","E, 13, 56, 95","14.00","E, 14, 56, 95","17.00","E, 15, 56, 95","6.80","E, 16, 56, 95","5.40","E, 17, 56, 95","11.00","E, 18, 56, 95","9.50","E, 19, 56, 95","4.20","E, 20, 56, 95","13.00","E, 21, 56, 95","7.60","E, 22, 56, 95","9.50","E, 23, 56, 95","6.50","E, 24, 56, 95","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_EUR_SE","AND","Andorra","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","18.00","E, 9, 56, 95","15.00","E, 10, 56, 95","6.90","E, 11, 56, 95","15.00","E, 12, 56, 95","8.80","E, 13, 56, 95","12.00","E, 14, 56, 95","14.00","E, 15, 56, 95","5.80","E, 16, 56, 95","4.60","E, 17, 56, 95","9.20","E, 18, 56, 95","8.20","E, 19, 56, 95","3.60","E, 20, 56, 95","11.00","E, 21, 56, 95","6.50","E, 22, 56, 95","8.10","E, 23, 56, 95","5.60","E, 24, 56, 95","",""
