"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_DISAB","SD","Proportion of population with severe disabilities collecting disability social protection benefits","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.11","E, 25, 27, 53"
"1","1.5","1.5.3","C200304","Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030","SG_DSR_LEGREG","+","Number of countries with legislative and/or regulatory provisions been made for managing disaster risk","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 22, 29, 54","","","","","",""
"2","2.a","2.a.2","C020a02","Total official flows (official development assistance plus other official flows) to the agriculture sector","DC_TOF_AGRL","SD","Total official flows disbursements for agriculture, by recipient","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","0.02","NA, 9, 55","0.04","NA, 10, 55","","","","","","","","","","","","","","","","","","","","","","","0.02","NA, 22, 56","","","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","23.00","E, 9, 30, 57","22.00","E, 10, 30, 57","22.00","E, 11, 30, 57","22.00","E, 12, 30, 57","22.00","E, 13, 30, 57","22.00","E, 14, 30, 57","22.00","E, 15, 30, 57","22.00","E, 16, 30, 57","22.00","E, 17, 30, 57","21.00","E, 18, 30, 57","21.00","E, 19, 30, 57","21.00","E, 20, 30, 57","21.00","E, 21, 30, 57","21.00","E, 22, 30, 57","23.00","E, 23, 30, 57","21.00","E, 24, 30, 57","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","15.00","E, 9, 30, 57","15.00","E, 10, 30, 57","14.00","E, 11, 30, 57","14.00","E, 12, 30, 57","14.00","E, 13, 30, 57","14.00","E, 14, 30, 57","14.00","E, 15, 30, 57","14.00","E, 16, 30, 57","14.00","E, 17, 30, 57","14.00","E, 18, 30, 57","14.00","E, 19, 30, 57","14.00","E, 20, 30, 57","14.00","E, 21, 30, 57","14.00","E, 22, 30, 57","15.00","E, 23, 30, 57","14.00","E, 24, 30, 57","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","32.00","E, 9, 30, 57","32.00","E, 10, 30, 57","32.00","E, 11, 30, 57","32.00","E, 12, 30, 57","31.00","E, 13, 30, 57","31.00","E, 14, 30, 57","31.00","E, 15, 30, 57","31.00","E, 16, 30, 57","31.00","E, 17, 30, 57","31.00","E, 18, 30, 57","30.00","E, 19, 30, 57","30.00","E, 20, 30, 57","30.00","E, 21, 30, 57","30.00","E, 22, 30, 57","32.00","E, 23, 30, 57","31.00","E, 24, 30, 57","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","59.30","C, 9, 32","","","","","","","","","","","40.10","C, 15, 31","","","","","","","","","","","","","","","","","","","",""
"3","3.b","3.b.2","C030b02","Total net official development assistance to medical research and basic health sectors","DC_TOF_HLTHL","SD","Total gross official disbursements for medical research and basic heath sectors, by recipient","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","0.01","NA, 9, 55","0.29","NA, 10, 55","0.03","NA, 11, 56","","","","","","","","","","","","","","","","","","","","","0.00","NA, 22, 56","","","","","",""
"3","3.b","3.b.2","C030b02","Total net official development assistance to medical research and basic health sectors","DC_TOF_HLTHNT","SD","Total net official disbursements for medical research and basic heath sectors, by recipient","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","NA, 22, 58","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRE_GPITCH","SD","Gender parity index of teachers in pre-primary education who are trained","MDG_LAC_CAR","AIA","Anguilla","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","0.54","C, 12, 33","","","","","","","","","","","","","","","","","","","","","","","","","",""
