"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_DISAB","SD","Proportion of population with severe disabilities collecting disability social protection benefits","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.06","E, 27, 29, 120"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_MATNL","SD","Proportion of mothers receiving maternity benefits and benefits for newborns","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.00","E, 27, 29, 120"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_MATNL","SD","Proportion of mothers receiving maternity benefits and benefits for newborns","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.00","E, 27, 29, 120"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.42","E, 27, 29, 120"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.10","E, 27, 29, 120"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.51","E, 27, 29, 120"
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_AFFCT","+","Number of persons affected by disaster per 100,000 people","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","341.00","E, 5, 30, 121","10,305.41","E, 6, 30, 121","124.90","E, 7, 30, 121","76.00","E, 8, 30, 121","11,894.95","E, 9, 30, 121","2,420.11","E, 10, 30, 121","218.00","E, 11, 30, 121","195.00","E, 12, 30, 121","209.00","E, 13, 30, 121","243.00","E, 14, 30, 121","244.00","E, 15, 30, 121","210.00","E, 16, 30, 121","","","","","5,806.36","E, 19, 30, 121","5.78","E, 20, 30, 121","1,347.80","E, 21, 30, 121","4.78","E, 22, 30, 121","47.12","E, 23, 30, 121","1,268.68","E, 24, 30, 121","26.03","E, 25, 30, 121","","","",""
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_MISS","+","Missing persons due to disaster","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","1.00","C, 10, 30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_MORT","+","Number of deaths due to disaster","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","2.00","C, 6, 30","","","","","3.00","C, 9, 30","2.00","C, 10, 30","","","","","","","","","","","","","","","","","","","2.00","C, 20, 30","8.00","C, 21, 30","1.00","C, 22, 30","1.00","C, 23, 30","4.00","C, 24, 30","3.00","C, 25, 30","","","",""
"1","1.5","1.5.2","C010502","Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)","VC_DSR_GDPLS","+","Direct economic loss attributed to disasters","MDG_LAC_CAR","ATG","Antigua and Barbuda","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","USD","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10,938,727.12","E, 19, 30, 122","28,562.12","E, 20, 30, 122","11,113,407.95","E, 21, 30, 122","","","182,253.53","E, 23, 30, 122","171,372.72","E, 24, 30, 122","","","","","",""
