"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_MATNL","SD","Proportion of mothers receiving maternity benefits and benefits for newborns","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 25, 27, 51"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_MATNL","SD","Proportion of mothers receiving maternity benefits and benefits for newborns","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 25, 27, 51"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 25, 27, 51"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 25, 27, 51"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 25, 27, 51"
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","12.00","E, 9, 29, 52","12.00","E, 10, 29, 52","12.00","E, 11, 29, 52","12.00","E, 12, 29, 52","12.00","E, 13, 29, 52","12.00","E, 14, 29, 52","12.00","E, 15, 29, 52","12.00","E, 16, 29, 52","12.00","E, 17, 29, 52","12.00","E, 18, 29, 52","6.80","E, 19, 29, 52","9.00","E, 20, 29, 52","31.00","E, 21, 29, 52","12.00","E, 22, 29, 52","2.20","E, 23, 29, 52","12.00","E, 24, 29, 52","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","11.00","E, 9, 29, 52","11.00","E, 10, 29, 52","11.00","E, 11, 29, 52","11.00","E, 12, 29, 52","11.00","E, 13, 29, 52","11.00","E, 14, 29, 52","11.00","E, 15, 29, 52","11.00","E, 16, 29, 52","11.00","E, 17, 29, 52","11.00","E, 18, 29, 52","5.80","E, 19, 29, 52","7.70","E, 20, 29, 52","27.00","E, 21, 29, 52","11.00","E, 22, 29, 52","1.90","E, 23, 29, 52","11.00","E, 24, 29, 52","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","14.00","E, 9, 29, 52","14.00","E, 10, 29, 52","14.00","E, 11, 29, 52","14.00","E, 12, 29, 52","14.00","E, 13, 29, 52","14.00","E, 14, 29, 52","14.00","E, 15, 29, 52","14.00","E, 16, 29, 52","14.00","E, 17, 29, 52","14.00","E, 18, 29, 52","7.80","E, 19, 29, 52","10.00","E, 20, 29, 52","36.00","E, 21, 29, 52","14.00","E, 22, 29, 52","2.60","E, 23, 29, 52","14.00","E, 24, 29, 52","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.70","C, 14, 30","43.40","C, 15, 30","42.20","C, 16, 30","39.90","C, 17, 30","42.90","C, 18, 30","42.60","C, 19, 30","42.60","C, 20, 30","38.60","C, 21, 30","36.40","C, 22, 30","35.40","C, 23, 30","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","MDG_LAC_CAR","ABW","Aruba","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","93.50","C, 9, 31, 53","99.39","C, 10, 31, 53","97.43","C, 11, 31","97.34","C, 12, 31","96.83","C, 13, 31, 53","96.43","C, 14, 31","99.01","C, 15, 31, 53","99.82","C, 16, 31","98.74","C, 17, 31","99.48","C, 18, 31","96.79","C, 19, 31","","","","","98.99","C, 22, 31","99.97","C, 23, 31","","","",""
