"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","2.19","M, 11, 55","2.11","M, 12, 55","2.00","M, 13, 55","1.78","M, 14, 55","1.90","M, 15, 55","1.80","M, 16, 55","1.62","M, 17, 55","1.62","M, 18, 55","1.51","M, 19, 55","1.44","M, 20, 55","1.41","M, 21, 55","1.50","M, 22, 55","1.27","M, 23, 55","1.63","M, 24, 55","1.60","M, 25, 55","1.58","M, 26, 55","1.56","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","2.43","M, 11, 55","2.31","M, 12, 55","2.14","M, 13, 55","1.93","M, 14, 55","1.95","M, 15, 55","1.87","M, 16, 55","1.74","M, 17, 55","1.75","M, 18, 55","1.63","M, 19, 55","1.55","M, 20, 55","1.56","M, 21, 55","1.64","M, 22, 55","1.30","M, 23, 55","1.65","M, 24, 55","1.60","M, 25, 55","1.58","M, 26, 55","1.56","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","2.00","M, 11, 55","1.96","M, 12, 55","1.89","M, 13, 55","1.65","M, 14, 55","1.86","M, 15, 55","1.75","M, 16, 55","1.52","M, 17, 55","1.51","M, 18, 55","1.42","M, 19, 55","1.34","M, 20, 55","1.28","M, 21, 55","1.37","M, 22, 55","1.24","M, 23, 55","1.61","M, 24, 55","1.59","M, 25, 55","1.58","M, 26, 55","1.56","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.89","M, 11, 55","1.98","M, 12, 55","1.86","M, 13, 55","1.83","M, 14, 55","1.87","M, 15, 55","1.80","M, 16, 55","1.68","M, 17, 55","1.69","M, 18, 55","1.65","M, 19, 55","1.68","M, 20, 55","1.65","M, 21, 55","1.62","M, 22, 55","1.57","M, 23, 55","2.10","M, 24, 55","2.04","M, 25, 55","1.99","M, 26, 55","1.95","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","2.14","M, 11, 55","2.26","M, 12, 55","2.12","M, 13, 55","2.13","M, 14, 55","2.17","M, 15, 55","2.10","M, 16, 55","2.01","M, 17, 55","2.02","M, 18, 55","1.99","M, 19, 55","2.05","M, 20, 55","2.03","M, 21, 55","1.99","M, 22, 55","1.93","M, 23, 55","2.60","M, 24, 55","2.52","M, 25, 55","2.46","M, 26, 55","2.41","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.66","M, 11, 55","1.73","M, 12, 55","1.63","M, 13, 55","1.57","M, 14, 55","1.60","M, 15, 55","1.52","M, 16, 55","1.37","M, 17, 55","1.37","M, 18, 55","1.33","M, 19, 55","1.33","M, 20, 55","1.28","M, 21, 55","1.25","M, 22, 55","1.23","M, 23, 55","1.59","M, 24, 55","1.56","M, 25, 55","1.53","M, 26, 55","1.50","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.83","M, 11, 55","1.96","M, 12, 55","1.84","M, 13, 55","1.84","M, 14, 55","1.87","M, 15, 55","1.80","M, 16, 55","1.69","M, 17, 55","1.69","M, 18, 55","1.67","M, 19, 55","1.71","M, 20, 55","1.68","M, 21, 55","1.63","M, 22, 55","1.60","M, 23, 55","2.14","M, 24, 55","2.08","M, 25, 55","2.03","M, 26, 55","1.98","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","2.09","M, 11, 55","2.25","M, 12, 55","2.12","M, 13, 55","2.15","M, 14, 55","2.20","M, 15, 55","2.13","M, 16, 55","2.05","M, 17, 55","2.06","M, 18, 55","2.03","M, 19, 55","2.10","M, 20, 55","2.08","M, 21, 55","2.03","M, 22, 55","1.99","M, 23, 55","2.68","M, 24, 55","2.60","M, 25, 55","2.54","M, 26, 55","2.48","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.60","M, 11, 55","1.70","M, 12, 55","1.59","M, 13, 55","1.55","M, 14, 55","1.55","M, 15, 55","1.49","M, 16, 55","1.34","M, 17, 55","1.34","M, 18, 55","1.32","M, 19, 55","1.33","M, 20, 55","1.28","M, 21, 55","1.24","M, 22, 55","1.22","M, 23, 55","1.59","M, 24, 55","1.56","M, 25, 55","1.52","M, 26, 55","1.49","M, 27, 55"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","MDG_LAC_CAR","BRB","Barbados","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.30","E, 22, 56, 161","","","","","","","","","",""
