"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1986","FN","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN","2017","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","0.09","G, 4, 55, 168","","","0.70","G, 6, 55, 168","","","","","11.33","G, 9, 55, 169","10.25","G, 10, 55, 169","7.11","G, 11, 55, 169","3.15","G, 12, 55, 169","2.03","G, 13, 55, 169","1.40","G, 14, 55, 169","0.32","G, 15, 55, 169","0.37","G, 16, 55, 169","0.11","G, 17, 55, 169","0.08","G, 18, 55, 169","0.00","G, 19, 55, 169","0.03","G, 20, 55, 169","0.00","G, 21, 55, 169","0.00","G, 22, 55, 169","0.00","G, 23, 55, 169","0.00","G, 24, 55, 169","0.00","G, 25, 55, 169","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.86","M, 11, 56","2.62","M, 12, 56","2.87","M, 13, 56","2.83","M, 14, 56","2.17","M, 15, 56","2.09","M, 16, 56","2.12","M, 17, 56","2.11","M, 18, 56","2.19","M, 19, 56","2.07","M, 20, 56","2.31","M, 21, 56","2.22","M, 22, 56","2.36","M, 23, 56","2.36","M, 24, 56","2.35","M, 25, 56","2.36","M, 26, 56","2.29","M, 27, 56","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.85","M, 11, 56","2.68","M, 12, 56","2.87","M, 13, 56","2.81","M, 14, 56","2.18","M, 15, 56","2.17","M, 16, 56","2.18","M, 17, 56","2.09","M, 18, 56","2.12","M, 19, 56","2.02","M, 20, 56","2.18","M, 21, 56","2.09","M, 22, 56","2.13","M, 23, 56","2.14","M, 24, 56","2.14","M, 25, 56","2.16","M, 26, 56","2.12","M, 27, 56","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87","M, 11, 56","2.58","M, 12, 56","2.87","M, 13, 56","2.86","M, 14, 56","2.16","M, 15, 56","2.03","M, 16, 56","2.07","M, 17, 56","2.12","M, 18, 56","2.25","M, 19, 56","2.11","M, 20, 56","2.41","M, 21, 56","2.32","M, 22, 56","2.53","M, 23, 56","2.52","M, 24, 56","2.50","M, 25, 56","2.51","M, 26, 56","2.43","M, 27, 56","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.40","M, 11, 56","1.25","M, 12, 56","1.42","M, 13, 56","1.38","M, 14, 56","1.07","M, 15, 56","0.99","M, 16, 56","0.97","M, 17, 56","0.95","M, 18, 56","0.96","M, 19, 56","0.91","M, 20, 56","1.04","M, 21, 56","1.01","M, 22, 56","1.05","M, 23, 56","1.04","M, 24, 56","1.03","M, 25, 56","1.02","M, 26, 56","1.00","M, 27, 56","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.80","M, 11, 56","1.62","M, 12, 56","1.82","M, 13, 56","1.74","M, 14, 56","1.34","M, 15, 56","1.24","M, 16, 56","1.21","M, 17, 56","1.16","M, 18, 56","1.16","M, 19, 56","1.10","M, 20, 56","1.26","M, 21, 56","1.24","M, 22, 56","1.29","M, 23, 56","1.29","M, 24, 56","1.28","M, 25, 56","1.28","M, 26, 56","1.28","M, 27, 56","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","M, 11, 56","0.90","M, 12, 56","1.02","M, 13, 56","1.01","M, 14, 56","0.80","M, 15, 56","0.75","M, 16, 56","0.74","M, 17, 56","0.73","M, 18, 56","0.76","M, 19, 56","0.71","M, 20, 56","0.82","M, 21, 56","0.79","M, 22, 56","0.82","M, 23, 56","0.80","M, 24, 56","0.78","M, 25, 56","0.76","M, 26, 56","0.72","M, 27, 56","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.18","M, 11, 56","1.05","M, 12, 56","1.20","M, 13, 56","1.15","M, 14, 56","0.90","M, 15, 56","0.82","M, 16, 56","0.80","M, 17, 56","0.77","M, 18, 56","0.77","M, 19, 56","0.74","M, 20, 56","0.86","M, 21, 56","0.85","M, 22, 56","0.89","M, 23, 56","0.89","M, 24, 56","0.89","M, 25, 56","0.88","M, 26, 56","0.87","M, 27, 56","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.66","M, 11, 56","1.47","M, 12, 56","1.68","M, 13, 56","1.60","M, 14, 56","1.23","M, 15, 56","1.11","M, 16, 56","1.08","M, 17, 56","1.04","M, 18, 56","1.04","M, 19, 56","0.99","M, 20, 56","1.15","M, 21, 56","1.14","M, 22, 56","1.21","M, 23, 56","1.21","M, 24, 56","1.20","M, 25, 56","1.21","M, 26, 56","1.21","M, 27, 56","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","BLR","Belarus","","","","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.69","M, 11, 56","0.62","M, 12, 56","0.71","M, 13, 56","0.70","M, 14, 56","0.57","M, 15, 56","0.53","M, 16, 56","0.51","M, 17, 56","0.50","M, 18, 56","0.50","M, 19, 56","0.48","M, 20, 56","0.57","M, 21, 56","0.55","M, 22, 56","0.57","M, 23, 56","0.57","M, 24, 56","0.56","M, 25, 56","0.56","M, 26, 56","0.53","M, 27, 56","",""
