"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","14.00","E, 9, 28, 47","2.70","E, 10, 28, 47","0.00","E, 11, 28, 47","0.00","E, 12, 28, 47","2.40","E, 13, 28, 47","1.20","E, 14, 28, 47","0.00","E, 15, 28, 47","2.20","E, 16, 28, 47","2.20","E, 17, 28, 47","4.20","E, 18, 28, 47","8.30","E, 19, 28, 47","4.10","E, 20, 28, 47","12.00","E, 21, 28, 47","9.90","E, 22, 28, 47","0.00","E, 23, 28, 47","13.00","E, 24, 28, 47","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","12.00","E, 9, 28, 47","2.30","E, 10, 28, 47","","","","","2.10","E, 13, 28, 47","1.00","E, 14, 28, 47","","","1.90","E, 16, 28, 47","1.90","E, 17, 28, 47","3.60","E, 18, 28, 47","7.10","E, 19, 28, 47","3.50","E, 20, 28, 47","10.00","E, 21, 28, 47","8.50","E, 22, 28, 47","","","12.00","E, 24, 28, 47","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","16.00","E, 9, 28, 47","3.10","E, 10, 28, 47","","","","","2.80","E, 13, 28, 47","1.40","E, 14, 28, 47","","","2.60","E, 16, 28, 47","2.50","E, 17, 28, 47","4.90","E, 18, 28, 47","9.50","E, 19, 28, 47","4.70","E, 20, 28, 47","14.00","E, 21, 28, 47","11.00","E, 22, 28, 47","","","15.00","E, 24, 28, 47","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_LSC_GPITCH","SD","Gender parity index of teachers in lower secondary education who are trained","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","1.00","C, 9, 29","1.00","C, 10, 29","1.00","C, 11, 29","","","1.02","C, 13, 29","1.02","C, 14, 29","1.00","C, 15, 29","","","","","","","","","0.99","C, 20, 29","1.02","C, 21, 29","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRE_GPITCH","SD","Gender parity index of teachers in pre-primary education who are trained","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","","","0.97","C, 11, 29","","","","","","","","","","","","","","","","","","","0.75","C, 21, 29","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRM_GPITCH","SD","Gender parity index of teachers in primary education who are trained","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","1.14","C, 9, 29","1.02","C, 10, 29","1.02","C, 11, 29","","","1.02","C, 13, 29","0.99","C, 14, 29","1.04","C, 15, 29","1.02","C, 16, 29","1.12","C, 17, 29","","","","","0.96","C, 20, 29","1.03","C, 21, 29","0.93","C, 22, 29","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_USC_GPITCH","SD","Gender parity index of teachers in upper secondary education who are trained","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","1.00","C, 9, 29","1.00","E, 10, 29","","","","","1.00","E, 13, 29","1.00","E, 14, 29","1.01","C, 15, 29","","","","","","","","","1.00","C, 20, 29","1.00","C, 21, 29","","","","","","","",""
"4","4.a","4.a.1","C040a01","Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)","SE_LSC_CMPTR","SD","Proportion of schools with access to computers for pedagogical purposes, lower secondary level","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 19, 29","","","","","","","","","","","",""
"4","4.a","4.a.1","C040a01","Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)","SE_LSC_ELECT","SD","Proportion of schools with access to electricity, lower secondary level","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 19, 29","","","","","","","","","","","",""
"4","4.a","4.a.1","C040a01","Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)","SE_LSC_INTNT","SD","Proportion of schools with access to the internet for pedagogical purposes, lower secondary level","MDG_LAC_CAR","CYM","Cayman Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 19, 29","","","","","","","","","","","",""
