"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","M49_ASI_EA","CHN","China","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","66.58","G, 1, 65, 197","","","","","57.00","G, 4, 65, 197","","","","","42.05","G, 7, 65, 197","","","","","40.54","G, 10, 65, 197","","","","","31.95","G, 13, 65, 197","","","","","18.75","G, 16, 65, 197","","","","","14.65","G, 19, 65, 197","","","11.18","G, 21, 65, 197","7.90","G, 22, 65, 197","6.47","G, 23, 65, 197","1.85","G, 24, 65, 197","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_ASI_EA","CHN","China","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","40.35","M, 11, 66","37.44","M, 12, 66","34.26","M, 13, 66","26.51","M, 14, 66","20.87","M, 15, 66","16.55","M, 16, 66","15.15","M, 17, 66","13.91","M, 18, 66","13.36","M, 19, 66","12.14","M, 20, 66","10.92","M, 21, 66","8.71","M, 22, 66","7.93","M, 23, 66","7.37","M, 24, 66","6.86","M, 25, 66","6.41","M, 26, 66","6.01","M, 27, 66"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_ASI_EA","CHN","China","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","40.68","M, 11, 66","37.63","M, 12, 66","34.27","M, 13, 66","26.27","M, 14, 66","20.47","M, 15, 66","16.08","M, 16, 66","14.64","M, 17, 66","13.41","M, 18, 66","12.83","M, 19, 66","11.62","M, 20, 66","10.45","M, 21, 66","8.28","M, 22, 66","7.55","M, 23, 66","7.04","M, 24, 66","6.61","M, 25, 66","6.23","M, 26, 66","5.88","M, 27, 66"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_ASI_EA","CHN","China","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","40.03","M, 11, 66","37.27","M, 12, 66","34.25","M, 13, 66","26.73","M, 14, 66","21.25","M, 15, 66","16.98","M, 16, 66","15.61","M, 17, 66","14.37","M, 18, 66","13.83","M, 19, 66","12.59","M, 20, 66","11.34","M, 21, 66","9.08","M, 22, 66","8.27","M, 23, 66","7.65","M, 24, 66","7.07","M, 25, 66","6.57","M, 26, 66","6.11","M, 27, 66"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_ASI_EA","CHN","China","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","34.40","M, 11, 66","31.42","M, 12, 66","28.25","M, 13, 66","21.18","M, 14, 66","16.31","M, 15, 66","12.69","M, 16, 66","11.54","M, 17, 66","10.51","M, 18, 66","10.07","M, 19, 66","9.10","M, 20, 66","8.14","M, 21, 66","6.46","M, 22, 66","5.84","M, 23, 66","5.40","M, 24, 66","5.02","M, 25, 66","4.70","M, 26, 66","4.42","M, 27, 66"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_ASI_EA","CHN","China","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","34.55","M, 11, 66","31.53","M, 12, 66","28.33","M, 13, 66","21.13","M, 14, 66","16.20","M, 15, 66","12.57","M, 16, 66","11.43","M, 17, 66","10.44","M, 18, 66","10.02","M, 19, 66","9.08","M, 20, 66","8.15","M, 21, 66","6.45","M, 22, 66","5.87","M, 23, 66","5.48","M, 24, 66","5.14","M, 25, 66","4.86","M, 26, 66","4.62","M, 27, 66"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_ASI_EA","CHN","China","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","34.28","M, 11, 66","31.32","M, 12, 66","28.17","M, 13, 66","21.23","M, 14, 66","16.40","M, 15, 66","12.79","M, 16, 66","11.62","M, 17, 66","10.58","M, 18, 66","10.10","M, 19, 66","9.12","M, 20, 66","8.13","M, 21, 66","6.46","M, 22, 66","5.82","M, 23, 66","5.35","M, 24, 66","4.93","M, 25, 66","4.57","M, 26, 66","4.26","M, 27, 66"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_ASI_EA","CHN","China","","","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","33.14","M, 11, 66","30.18","M, 12, 66","27.02","M, 13, 66","20.10","M, 14, 66","15.38","M, 15, 66","11.91","M, 16, 66","10.81","M, 17, 66","9.83","M, 18, 66","9.41","M, 19, 66","8.52","M, 20, 66","7.62","M, 21, 66","6.06","M, 22, 66","5.50","M, 23, 66","5.11","M, 24, 66","4.76","M, 25, 66","4.48","M, 26, 66","4.23","M, 27, 66"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_ASI_EA","CHN","China","","","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","33.13","M, 11, 66","30.16","M, 12, 66","27.01","M, 13, 66","19.99","M, 14, 66","15.25","M, 15, 66","11.80","M, 16, 66","10.73","M, 17, 66","9.79","M, 18, 66","9.43","M, 19, 66","8.56","M, 20, 66","7.70","M, 21, 66","6.10","M, 22, 66","5.57","M, 23, 66","5.23","M, 24, 66","4.93","M, 25, 66","4.67","M, 26, 66","4.46","M, 27, 66"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_ASI_EA","CHN","China","","","","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","33.16","M, 11, 66","30.19","M, 12, 66","27.03","M, 13, 66","20.19","M, 14, 66","15.49","M, 15, 66","11.99","M, 16, 66","10.87","M, 17, 66","9.85","M, 18, 66","9.40","M, 19, 66","8.48","M, 20, 66","7.56","M, 21, 66","6.02","M, 22, 66","5.44","M, 23, 66","5.01","M, 24, 66","4.64","M, 25, 66","4.32","M, 26, 66","4.05","M, 27, 66"
