"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","<5.0","E, 26, 53","<5.0","E, 27, 53","<5.0","E, 28, 53","<5.0","E, 29, 53","<5.0","E, 30, 53","<5.0","E, 31, 53","<5.0","E, 32, 53","<5.0","E, 33, 53","<5.0","E, 34, 53","<5.0","E, 35, 53","<5.0","E, 36, 53","<5.0","E, 37, 53","<5.0","E, 38, 53","<5.0","E, 39, 53","<5.0","E, 40, 53","<5.0","E, 41, 53","<5.0","E, 42, 53","<5.0","E, 43, 53","<5.0","E, 44, 53","<5.0","E, 45, 53","<5.0","E, 46, 53","<5.0","E, 47, 53","<5.0","E, 48, 53, 72","<5.0","E, 49, 53, 72","<5.0","E, 50, 53, 72","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_NRK_LBRED","SD","Proportion of local breeds classified as being at risk of extinction","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_NRK_LBREDN","+","Number of local breeds classified as being at risk of extinction","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_RSK_LBRED","SD","Proportion of local breeds classified as being not-at-risk of extinction","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_RSK_LBREDN","+","Number of local breeds classified as being not-at-risk of extinction","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_UNK_LBRED","SD","Proportion of local breeds classified as being at unknown level of risk of extinction","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_UNK_LBREDN","+","Number of local breeds classified as being at unknown level of risk of extinction","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","15.10","C, 9, 55","11.00","C, 10, 55","12.50","C, 11, 55","13.90","C, 12, 55","12.70","C, 13, 55","9.80","C, 14, 55","9.20","C, 15, 55","9.20","C, 16, 55","14.00","C, 17, 55","12.40","C, 18, 55","9.80","C, 19, 55","12.90","C, 20, 55","9.70","C, 21, 55","12.40","C, 22, 55","14.60","C, 23, 55","7.30","C, 24, 55","",""
"7","7.1","7.1.1","C070101","Proportion of population with access to electricity","EG_ELC_ACCS","SD","Proportion of population with access to electricity","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Other","All age ranges or no breakdown by age","Rural","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","100.00","M, 9","100.00","M, 10","100.00","M, 11","100.00","M, 12","100.00","M, 13","100.00","M, 14","100.00","M, 15","100.00","M, 16","100.00","M, 17","100.00","M, 18","100.00","M, 19","100.00","M, 20","100.00","M, 21","100.00","M, 22","100.00","M, 23","","","",""
"7","7.1","7.1.1","C070101","Proportion of population with access to electricity","EG_ELC_ACCS","SD","Proportion of population with access to electricity","M49_EUR_NE","FRO","Faroe Islands","","","","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","100.00","M, 9","100.00","M, 10","100.00","M, 11","100.00","M, 12","100.00","M, 13","100.00","M, 14","100.00","M, 15","100.00","M, 16","100.00","M, 17","100.00","M, 18","100.00","M, 19","100.00","M, 20","100.00","M, 21","100.00","M, 22","100.00","M, 23","","","",""
