"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","<5.0","E, 26, 52","<5.0","E, 27, 52","<5.0","E, 28, 52","<5.0","E, 29, 52","<5.0","E, 30, 52","<5.0","E, 31, 52","<5.0","E, 32, 52","<5.0","E, 33, 52","<5.0","E, 34, 52","<5.0","E, 35, 52","<5.0","E, 36, 52","<5.0","E, 37, 52","<5.0","E, 38, 52","<5.0","E, 39, 52","<5.0","E, 40, 52","<5.0","E, 41, 52","<5.0","E, 42, 52","<5.0","E, 43, 52","<5.0","E, 44, 52","<5.0","E, 45, 52","<5.0","E, 46, 52","<5.0","E, 47, 52","<5.0","E, 48, 52, 74","<5.0","E, 49, 52, 74","<5.0","E, 50, 52, 74","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_NRK_LBRED","SD","Proportion of local breeds classified as being at risk of extinction","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_NRK_LBREDN","+","Number of local breeds classified as being at risk of extinction","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_RSK_LBRED","SD","Proportion of local breeds classified as being not-at-risk of extinction","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_RSK_LBREDN","+","Number of local breeds classified as being not-at-risk of extinction","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_UNK_LBRED","SD","Proportion of local breeds classified as being at unknown level of risk of extinction","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_UNK_LBREDN","+","Number of local breeds classified as being at unknown level of risk of extinction","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","186.00","E, 9, 54, 76","186.00","E, 10, 54, 76","186.00","E, 11, 54, 76","186.00","E, 12, 54, 76","186.00","E, 13, 54, 76","186.00","E, 14, 54, 76","186.00","E, 15, 54, 76","186.00","E, 16, 54, 76","186.00","E, 17, 54, 76","128.00","E, 18, 54, 76","232.00","E, 19, 54, 76","234.00","E, 20, 54, 76","171.00","E, 21, 54, 76","196.00","E, 22, 54, 76","178.00","E, 23, 54, 76","164.00","E, 24, 54, 76","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","160.00","E, 9, 54, 76","160.00","E, 10, 54, 76","160.00","E, 11, 54, 76","160.00","E, 12, 54, 76","160.00","E, 13, 54, 76","160.00","E, 14, 54, 76","160.00","E, 15, 54, 76","160.00","E, 16, 54, 76","160.00","E, 17, 54, 76","110.00","E, 18, 54, 76","199.00","E, 19, 54, 76","201.00","E, 20, 54, 76","147.00","E, 21, 54, 76","168.00","E, 22, 54, 76","153.00","E, 23, 54, 76","141.00","E, 24, 54, 76","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_NAM","GRL","Greenland","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","215.00","E, 9, 54, 76","215.00","E, 10, 54, 76","215.00","E, 11, 54, 76","215.00","E, 12, 54, 76","215.00","E, 13, 54, 76","215.00","E, 14, 54, 76","215.00","E, 15, 54, 76","215.00","E, 16, 54, 76","215.00","E, 17, 54, 76","147.00","E, 18, 54, 76","267.00","E, 19, 54, 76","270.00","E, 20, 54, 76","198.00","E, 21, 54, 76","226.00","E, 22, 54, 76","205.00","E, 23, 54, 76","189.00","E, 24, 54, 76","",""
