"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN","2017","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.00","E, 21, 29, 108","","","","","","","","","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_WKINJRY","SD","Proportion of employed population covered in the event of work injury","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.70","E, 24, 29, 108","","","","","","","",""
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_AFFCT","+","Number of persons affected by disaster per 100,000 people","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","366.51","E, 1, 30, 109","3.00","E, 2, 30, 109","","","","","","","","","","","","","","","232.65","E, 10, 30, 109","","","","","59.84","E, 13, 30, 109","179.52","E, 14, 30, 109","104,555.72","E, 15, 30, 109","22,880.71","E, 16, 30, 109","","","","","","","1.00","E, 20, 30, 109","","","72.06","E, 22, 30, 109","","","","","","","","","","","",""
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_MORT","+","Number of deaths due to disaster","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","9.00","C, 2, 30","","","","","","","","","","","","","","","","","","","","","","","","","33.00","C, 15, 30","2.00","C, 16, 30","","","1.00","C, 18, 30","","","","","","","","","","","","","","","","","","","",""
"1","1.5","1.5.2","C010502","Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)","VC_DSR_GDPLS","+","Direct economic loss attributed to disasters","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","USD","Millions","","","","","","","","","","","","","","","","","","","","","","","","","93,248.68","E, 13, 30, 110","","","129,022,444.58","E, 15, 30, 110","66,903,122.03","E, 16, 30, 110","","","24,982.34","E, 18, 30, 110","","","","","","","","","","","","","","","","","","","",""
"2","2.a","2.a.2","C020a02","Total official flows (official development assistance plus other official flows) to the agriculture sector","DC_TOF_AGRL","SD","Total official flows disbursements for agriculture, by recipient","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","2.44","NA, 11, 111","6.49","NA, 12, 111","1.73","NA, 13, 112","6.53","NA, 14, 112","7.55","NA, 15, 112","0.33","NA, 16, 112","0.43","NA, 17, 112","0.67","NA, 18, 112","1.35","NA, 19, 112","0.96","NA, 20, 112","4.74","NA, 21, 112","5.90","NA, 22, 112","0.05","NA, 23, 112","0.06","NA, 24, 112","0.03","NA, 25, 112","3.45","NA, 26, 112","","","",""
"3","3.1","3.1.1","C030101","Maternal mortality ratio","SH_STA_MORT","SD","Maternal mortality ratio","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 live births","Units","41.00","E, 1, 32, 113","38.00","E, 2, 32, 113","38.00","E, 3, 32, 113","39.00","E, 4, 32, 113","38.00","E, 5, 32, 113","37.00","E, 6, 32, 113","33.00","E, 7, 32, 113","30.00","E, 8, 32, 113","29.00","E, 9, 32, 113","29.00","E, 10, 32, 113","29.00","E, 11, 32, 113","29.00","E, 12, 32, 113","28.00","E, 13, 32, 113","27.00","E, 14, 32, 113","26.00","E, 15, 32, 113","25.00","E, 16, 32, 113","25.00","E, 17, 32, 113","25.00","E, 18, 32, 113","25.00","E, 19, 32, 113","26.00","E, 20, 32, 113","27.00","E, 21, 32, 113","27.00","E, 22, 32, 113","27.00","E, 23, 32, 113","27.00","E, 24, 32, 113","27.00","E, 25, 32, 113","27.00","E, 26, 32, 113","","","",""
"3","3.1","3.1.1","C030101","Maternal mortality ratio","SH_STA_MORT","SD","Maternal mortality ratio","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 live births","Units","30.00","E, 1, 31","28.00","E, 2, 31","29.00","E, 3, 31","29.00","E, 4, 31","28.00","E, 5, 31","27.00","E, 6, 31","24.00","E, 7, 31","21.00","E, 8, 31","21.00","E, 9, 31","21.00","E, 10, 31","21.00","E, 11, 31","21.00","E, 12, 31","20.00","E, 13, 31","20.00","E, 14, 31","19.00","E, 15, 31","18.00","E, 16, 31","18.00","E, 17, 31","19.00","E, 18, 31","19.00","E, 19, 31","19.00","E, 20, 31","20.00","E, 21, 31","20.00","E, 22, 31","20.00","E, 23, 31","19.00","E, 24, 31","19.00","E, 25, 31","19.00","E, 26, 31","","","",""
"3","3.1","3.1.1","C030101","Maternal mortality ratio","SH_STA_MORT","SD","Maternal mortality ratio","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 live births","Units","53.00","E, 1, 31","50.00","E, 2, 31","50.00","E, 3, 31","51.00","E, 4, 31","50.00","E, 5, 31","48.00","E, 6, 31","44.00","E, 7, 31","39.00","E, 8, 31","39.00","E, 9, 31","39.00","E, 10, 31","38.00","E, 11, 31","40.00","E, 12, 31","38.00","E, 13, 31","37.00","E, 14, 31","35.00","E, 15, 31","34.00","E, 16, 31","34.00","E, 17, 31","34.00","E, 18, 31","34.00","E, 19, 31","36.00","E, 20, 31","37.00","E, 21, 31","39.00","E, 22, 31","40.00","E, 23, 31","41.00","E, 24, 31","41.00","E, 25, 31","42.00","E, 26, 31","","","",""
"3","3.1","3.1.2","C030102","Proportion of births attended by skilled health personnel","SH_STA_BRTC","SD","Proportion of births attended by skilled health personnel","MDG_LAC_CAR","GRD","Grenada","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","99.00","C, 9, 42","99.00","C, 10, 43","100.00","C, 11, 33","","","","","100.00","C, 14, 34","","","100.00","C, 16, 35","","","98.80","C, 18, 36","","","100.00","C, 20, 37","","","100.00","C, 22, 40","99.00","C, 23, 41","99.00","C, 24, 38","99.00","C, 25, 39","","","","","",""
