"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","32.99","CA, 9, 29","32.13","CA, 10, 29","26.87","CA, 11, 29","25.48","C, 12, 30","20.50","C, 13, 28","","","","","","","","","","","","","","","","","","","","","","","",""
"7","7.2","7.2.1","C070201","Renewable energy share in the total final energy consumption","EG_FEC_RNEW","SD","Renewable energy share in the total final energy consumption","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.85","NA, 9","0.79","NA, 10","0.80","NA, 11","0.76","NA, 12","1.58","NA, 13","2.36","NA, 14","2.35","NA, 15","2.39","NA, 16","2.54","NA, 17","3.21","NA, 18","3.52","NA, 19","4.17","NA, 20","3.97","NA, 21","4.73","NA, 22","4.55","NA, 23","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","56.30","C, 10, 33","58.10","C, 11, 31","56.10","C, 12, 33","56.00","C, 13, 33","59.50","C, 14, 33","60.30","C, 15, 33","52.90","C, 16, 33","51.60","C, 17, 33","59.20","C, 18, 31","55.40","C, 19, 31","53.20","C, 20, 31","52.90","C, 21, 31","58.40","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","59.60","C, 10, 33","65.10","C, 11, 31","52.80","C, 12, 33","56.70","C, 13, 33","62.70","C, 14, 33","62.90","C, 15, 33","52.60","C, 16, 33","52.80","C, 17, 33","63.60","C, 18, 31","55.00","C, 19, 31","59.30","C, 20, 31","54.50","C, 21, 31","67.20","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","52.10","C, 10, 33","51.80","C, 11, 31","58.10","C, 12, 33","53.80","C, 13, 33","57.10","C, 14, 33","58.30","C, 15, 33","53.10","C, 16, 33","52.10","C, 17, 33","57.80","C, 18, 31","54.90","C, 19, 31","48.60","C, 20, 31","50.60","C, 21, 31","51.80","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","25.70","C, 9, 32","25.20","C, 10, 33","26.00","C, 11, 31","26.20","C, 12, 33","25.10","C, 13, 33","25.90","C, 14, 33","26.90","C, 15, 33","22.60","C, 16, 33","21.90","C, 17, 33","23.40","C, 18, 31","23.80","C, 19, 31","22.60","C, 20, 31","22.90","C, 21, 31","26.10","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","30.80","C, 9, 32","27.30","C, 10, 33","28.60","C, 11, 31","27.50","C, 12, 33","28.00","C, 13, 33","29.50","C, 14, 33","29.10","C, 15, 33","26.00","C, 16, 33","25.50","C, 17, 33","26.30","C, 18, 31","26.00","C, 19, 31","25.80","C, 20, 31","25.20","C, 21, 31","28.30","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","21.20","C, 9, 32","23.30","C, 10, 33","23.60","C, 11, 31","25.00","C, 12, 33","22.30","C, 13, 33","22.40","C, 14, 33","24.80","C, 15, 33","19.10","C, 16, 33","18.20","C, 17, 33","20.30","C, 18, 31","21.40","C, 19, 31","19.10","C, 20, 31","20.40","C, 21, 31","23.80","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","22.60","C, 10, 33","23.00","C, 11, 31","23.80","C, 12, 33","22.40","C, 13, 33","23.10","C, 14, 33","23.70","C, 15, 33","20.30","C, 16, 33","19.60","C, 17, 33","20.60","C, 18, 31","21.10","C, 19, 31","20.20","C, 20, 31","20.50","C, 21, 31","23.30","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","GLP","Guadeloupe","","","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","24.80","C, 10, 33","25.50","C, 11, 31","25.50","C, 12, 33","25.60","C, 13, 33","27.10","C, 14, 33","26.20","C, 15, 33","24.10","C, 16, 33","23.70","C, 17, 33","23.80","C, 18, 31","23.80","C, 19, 31","23.60","C, 20, 31","23.60","C, 21, 31","25.40","C, 22, 31","","","","","",""
