"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","55.59","G, 12, 59, 161","","","","","","","","","","","","","","","","","","","","","53.91","G, 23, 59, 161","","","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","33.92","M, 11, 60","32.01","M, 12, 60","32.28","M, 13, 60","32.75","M, 14, 60","32.50","M, 15, 60","33.44","M, 16, 60","33.51","M, 17, 60","33.88","M, 18, 60","33.46","M, 19, 60","34.23","M, 20, 60","34.19","M, 21, 60","35.44","M, 22, 60","35.07","M, 23, 60","32.05","M, 24, 60","28.56","M, 25, 60","25.74","M, 26, 60","23.29","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","33.29","M, 11, 60","31.39","M, 12, 60","31.73","M, 13, 60","32.28","M, 14, 60","32.09","M, 15, 60","33.12","M, 16, 60","33.20","M, 17, 60","33.58","M, 18, 60","33.13","M, 19, 60","33.90","M, 20, 60","33.84","M, 21, 60","35.11","M, 22, 60","34.73","M, 23, 60","31.68","M, 24, 60","28.15","M, 25, 60","25.30","M, 26, 60","22.82","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","34.41","M, 11, 60","32.49","M, 12, 60","32.71","M, 13, 60","33.11","M, 14, 60","32.82","M, 15, 60","33.69","M, 16, 60","33.75","M, 17, 60","34.11","M, 18, 60","33.72","M, 19, 60","34.48","M, 20, 60","34.47","M, 21, 60","35.69","M, 22, 60","35.34","M, 23, 60","32.34","M, 24, 60","28.87","M, 25, 60","26.09","M, 26, 60","23.66","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","36.71","M, 11, 60","34.96","M, 12, 60","35.14","M, 13, 60","35.47","M, 14, 60","35.21","M, 15, 60","35.98","M, 16, 60","36.04","M, 17, 60","36.40","M, 18, 60","36.08","M, 19, 60","36.82","M, 20, 60","36.86","M, 21, 60","37.91","M, 22, 60","37.65","M, 23, 60","34.97","M, 24, 60","31.80","M, 25, 60","29.22","M, 26, 60","26.90","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","38.43","M, 11, 60","36.80","M, 12, 60","37.02","M, 13, 60","37.39","M, 14, 60","37.19","M, 15, 60","37.97","M, 16, 60","38.09","M, 17, 60","38.49","M, 18, 60","38.25","M, 19, 60","39.02","M, 20, 60","39.14","M, 21, 60","40.17","M, 22, 60","39.98","M, 23, 60","37.44","M, 24, 60","34.39","M, 25, 60","31.87","M, 26, 60","29.59","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","35.23","M, 11, 60","33.37","M, 12, 60","33.51","M, 13, 60","33.82","M, 14, 60","33.49","M, 15, 60","34.24","M, 16, 60","34.25","M, 17, 60","34.56","M, 18, 60","34.17","M, 19, 60","34.87","M, 20, 60","34.85","M, 21, 60","35.91","M, 22, 60","35.59","M, 23, 60","32.78","M, 24, 60","29.51","M, 25, 60","26.86","M, 26, 60","24.52","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","37.27","M, 11, 60","35.56","M, 12, 60","35.73","M, 13, 60","36.05","M, 14, 60","35.79","M, 15, 60","36.52","M, 16, 60","36.57","M, 17, 60","36.92","M, 18, 60","36.60","M, 19, 60","37.33","M, 20, 60","37.38","M, 21, 60","38.38","M, 22, 60","38.12","M, 23, 60","35.50","M, 24, 60","32.38","M, 25, 60","29.82","M, 26, 60","27.51","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","39.38","M, 11, 60","37.83","M, 12, 60","38.04","M, 13, 60","38.39","M, 14, 60","38.19","M, 15, 60","38.94","M, 16, 60","39.04","M, 17, 60","39.44","M, 18, 60","39.20","M, 19, 60","39.95","M, 20, 60","40.08","M, 21, 60","41.06","M, 22, 60","40.87","M, 23, 60","38.40","M, 24, 60","35.41","M, 25, 60","32.92","M, 26, 60","30.64","M, 27, 60"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","HTI","Haiti","True","","True","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","35.41","M, 11, 60","33.56","M, 12, 60","33.69","M, 13, 60","33.97","M, 14, 60","33.64","M, 15, 60","34.36","M, 16, 60","34.36","M, 17, 60","34.66","M, 18, 60","34.27","M, 19, 60","34.96","M, 20, 60","34.93","M, 21, 60","35.96","M, 22, 60","35.64","M, 23, 60","32.87","M, 24, 60","29.63","M, 25, 60","27.01","M, 26, 60","24.67","M, 27, 60"
