"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","4.56","G, 1, 73, 204","","","","","9.75","G, 4, 73, 205","","","","","3.43","G, 7, 73, 204","","","","","2.61","G, 10, 73, 204","","","","","2.74","G, 13, 73, 204","","","1.70","G, 15, 73, 204","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","2.85","M, 11, 74","2.89","M, 12, 74","3.07","M, 13, 74","3.10","M, 14, 74","2.70","M, 15, 74","2.78","M, 16, 74","2.76","M, 17, 74","2.73","M, 18, 74","2.64","M, 19, 74","2.43","M, 20, 74","2.25","M, 21, 74","2.34","M, 22, 74","2.21","M, 23, 74","2.18","M, 24, 74","2.29","M, 25, 74","2.31","M, 26, 74","2.35","M, 27, 74"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","2.13","M, 11, 74","2.08","M, 12, 74","2.30","M, 13, 74","2.46","M, 14, 74","2.11","M, 15, 74","2.18","M, 16, 74","2.28","M, 17, 74","2.28","M, 18, 74","2.14","M, 19, 74","1.99","M, 20, 74","1.82","M, 21, 74","1.90","M, 22, 74","1.75","M, 23, 74","1.62","M, 24, 74","1.77","M, 25, 74","1.79","M, 26, 74","1.82","M, 27, 74"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","3.26","M, 11, 74","3.33","M, 12, 74","3.51","M, 13, 74","3.50","M, 14, 74","3.05","M, 15, 74","3.13","M, 16, 74","3.06","M, 17, 74","3.03","M, 18, 74","2.94","M, 19, 74","2.70","M, 20, 74","2.52","M, 21, 74","2.62","M, 22, 74","2.48","M, 23, 74","2.48","M, 24, 74","2.59","M, 25, 74","2.61","M, 26, 74","2.66","M, 27, 74"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","3.09","M, 11, 74","3.20","M, 12, 74","3.25","M, 13, 74","3.14","M, 14, 74","3.07","M, 15, 74","3.09","M, 16, 74","3.08","M, 17, 74","3.09","M, 18, 74","3.06","M, 19, 74","2.96","M, 20, 74","2.87","M, 21, 74","2.77","M, 22, 74","2.78","M, 23, 74","2.81","M, 24, 74","2.87","M, 25, 74","2.84","M, 26, 74","2.81","M, 27, 74"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","2.90","M, 11, 74","3.06","M, 12, 74","3.12","M, 13, 74","2.99","M, 14, 74","3.02","M, 15, 74","3.03","M, 16, 74","3.12","M, 17, 74","3.15","M, 18, 74","3.11","M, 19, 74","3.03","M, 20, 74","2.93","M, 21, 74","2.81","M, 22, 74","2.86","M, 23, 74","2.92","M, 24, 74","3.01","M, 25, 74","2.96","M, 26, 74","2.92","M, 27, 74"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","3.22","M, 11, 74","3.29","M, 12, 74","3.34","M, 13, 74","3.25","M, 14, 74","3.11","M, 15, 74","3.14","M, 16, 74","3.05","M, 17, 74","3.04","M, 18, 74","3.03","M, 19, 74","2.91","M, 20, 74","2.83","M, 21, 74","2.75","M, 22, 74","2.72","M, 23, 74","2.72","M, 24, 74","2.76","M, 25, 74","2.75","M, 26, 74","2.73","M, 27, 74"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","3.14","M, 11, 74","3.25","M, 12, 74","3.28","M, 13, 74","3.15","M, 14, 74","3.14","M, 15, 74","3.15","M, 16, 74","3.14","M, 17, 74","3.15","M, 18, 74","3.13","M, 19, 74","3.04","M, 20, 74","2.95","M, 21, 74","2.84","M, 22, 74","2.86","M, 23, 74","2.88","M, 24, 74","2.95","M, 25, 74","2.91","M, 26, 74","2.87","M, 27, 74"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","3.02","M, 11, 74","3.19","M, 12, 74","3.24","M, 13, 74","3.08","M, 14, 74","3.15","M, 15, 74","3.15","M, 16, 74","3.25","M, 17, 74","3.28","M, 18, 74","3.25","M, 19, 74","3.17","M, 20, 74","3.06","M, 21, 74","2.93","M, 22, 74","2.99","M, 23, 74","3.05","M, 24, 74","3.15","M, 25, 74","3.09","M, 26, 74","3.04","M, 27, 74"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","JAM","Jamaica","","","True","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","3.22","M, 11, 74","3.29","M, 12, 74","3.31","M, 13, 74","3.20","M, 14, 74","3.12","M, 15, 74","3.14","M, 16, 74","3.05","M, 17, 74","3.04","M, 18, 74","3.04","M, 19, 74","2.94","M, 20, 74","2.87","M, 21, 74","2.77","M, 22, 74","2.76","M, 23, 74","2.76","M, 24, 74","2.79","M, 25, 74","2.77","M, 26, 74","2.74","M, 27, 74"
