"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_MATNL","SD","Proportion of mothers receiving maternity benefits and benefits for newborns","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 25, 52, 86"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_MATNL","SD","Proportion of mothers receiving maternity benefits and benefits for newborns","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 25, 52, 86"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_UEMP","SD","Proportion of unemployed receiving unemployment benefits","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.20","E, 20, 52, 86","","","","","","","","","",""
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","<5.0","E, 26, 54","<5.0","E, 27, 54","<5.0","E, 28, 54","<5.0","E, 29, 54","<5.0","E, 30, 54","<5.0","E, 31, 54","<5.0","E, 32, 54","<5.0","E, 33, 54","<5.0","E, 34, 54","<5.0","E, 35, 54","<5.0","E, 36, 54","<5.0","E, 37, 54","<5.0","E, 38, 54","<5.0","E, 39, 54","<5.0","E, 40, 54","<5.0","E, 41, 54","<5.0","E, 42, 54","<5.0","E, 43, 54","<5.0","E, 44, 54","<5.0","E, 45, 54","<5.0","E, 46, 54","<5.0","E, 47, 54","<5.0","E, 48, 54, 87","<5.0","E, 49, 54, 87","<5.0","E, 50, 54, 87","",""
"3","3.d","3.d.1","C030d01","International Health Regulations (IHR) capacity and health emergency preparedness","SH_IHR_CAPPRD","SD","International Health Regulations (IHR) core capacity index","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Index","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.70","NA, 25"
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_LSC_MATH","SD","Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in mathematics","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.92","C, 21, 55","","","","","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_LSC_MATH","SD","Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in mathematics","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.66","C, 21, 55","","","","","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_LSC_MATH","SD","Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in mathematics","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.80","C, 21, 55","","","","","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_LSC_RDNG","SD","Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in reading","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.23","C, 21, 55","","","","","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_LSC_RDNG","SD","Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in reading","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.34","C, 21, 55","","","","","","","",""
"4","4.1","4.1.1","C040101","Proportion of children and young people: (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex","SE_LSC_RDNG","SD","Proportion of children at the end of lower secondary achieving at least a minimum proficiency level in reading","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.62","C, 21, 55","","","","","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","98.53","CA, 12, 56","95.53","CA, 13, 56","","","96.79","CA, 15, 56","98.02","CA, 16, 56","95.79","CA, 17, 56","98.70","CA, 18, 56","96.26","CA, 19, 56","98.94","CA, 20, 56","98.19","CA, 21, 56","","","99.59","CA, 23, 56","98.14","CA, 24, 56","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","97.15","CA, 12, 56","96.44","CA, 13, 56","","","100.00","CA, 15, 56","97.38","CA, 16, 56","98.83","CA, 17, 56","100.00","CA, 18, 56","95.73","CA, 19, 56","99.47","CA, 20, 56","98.98","CA, 21, 56","","","100.00","CA, 23, 56","95.87","CA, 24, 56","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","M49_EUR_WE","LIE","Liechtenstein","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","CA, 12, 56","94.59","CA, 13, 56","","","93.07","CA, 15, 56","98.60","CA, 16, 56","93.30","CA, 17, 56","97.43","CA, 18, 56","96.74","CA, 19, 56","98.43","CA, 20, 56","97.38","CA, 21, 56","","","99.23","CA, 23, 56","100.00","CA, 24, 56","",""
