"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","0.80","G, 9, 57, 167","","","5.20","G, 11, 57, 166","","","1.31","G, 13, 57, 166","1.15","G, 14, 57, 166","1.35","G, 15, 57, 166","1.38","G, 16, 57, 166","2.66","G, 17, 57, 166","","","1.33","G, 19, 57, 166","","","","","","","","","","","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","0.94","M, 11, 58","0.87","M, 12, 58","0.86","M, 13, 58","0.70","M, 14, 58","0.72","M, 15, 58","0.75","M, 16, 58","0.93","M, 17, 58","0.96","M, 18, 58","0.99","M, 19, 58","1.00","M, 20, 58","0.95","M, 21, 58","0.88","M, 22, 58","0.92","M, 23, 58","0.95","M, 24, 58","0.88","M, 25, 58","0.93","M, 26, 58","0.86","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","1.13","M, 11, 58","1.04","M, 12, 58","1.06","M, 13, 58","0.92","M, 14, 58","0.95","M, 15, 58","1.00","M, 16, 58","1.16","M, 17, 58","1.16","M, 18, 58","1.18","M, 19, 58","1.13","M, 20, 58","1.12","M, 21, 58","1.08","M, 22, 58","1.16","M, 23, 58","1.18","M, 24, 58","1.06","M, 25, 58","1.15","M, 26, 58","1.07","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","0.83","M, 11, 58","0.76","M, 12, 58","0.73","M, 13, 58","0.55","M, 14, 58","0.57","M, 15, 58","0.58","M, 16, 58","0.78","M, 17, 58","0.85","M, 18, 58","0.87","M, 19, 58","0.94","M, 20, 58","0.86","M, 21, 58","0.76","M, 22, 58","0.77","M, 23, 58","0.80","M, 24, 58","0.78","M, 25, 58","0.78","M, 26, 58","0.73","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","0.70","M, 11, 58","0.63","M, 12, 58","0.64","M, 13, 58","0.59","M, 14, 58","0.58","M, 15, 58","0.60","M, 16, 58","0.66","M, 17, 58","0.68","M, 18, 58","0.69","M, 19, 58","0.71","M, 20, 58","0.69","M, 21, 58","0.69","M, 22, 58","0.68","M, 23, 58","0.70","M, 24, 58","0.69","M, 25, 58","0.69","M, 26, 58","0.66","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","1.55","M, 11, 58","1.36","M, 12, 58","1.40","M, 13, 58","1.32","M, 14, 58","1.37","M, 15, 58","1.40","M, 16, 58","1.52","M, 17, 58","1.52","M, 18, 58","1.55","M, 19, 58","1.56","M, 20, 58","1.52","M, 21, 58","1.50","M, 22, 58","1.50","M, 23, 58","1.49","M, 24, 58","1.45","M, 25, 58","1.43","M, 26, 58","1.40","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","0.19","M, 11, 58","0.17","M, 12, 58","0.14","M, 13, 58","0.09","M, 14, 58","0.08","M, 15, 58","0.08","M, 16, 58","0.12","M, 17, 58","0.13","M, 18, 58","0.15","M, 19, 58","0.18","M, 20, 58","0.17","M, 21, 58","0.15","M, 22, 58","0.15","M, 23, 58","0.17","M, 24, 58","0.19","M, 25, 58","0.18","M, 26, 58","0.17","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","0.67","M, 11, 58","0.60","M, 12, 58","0.62","M, 13, 58","0.58","M, 14, 58","0.57","M, 15, 58","0.59","M, 16, 58","0.64","M, 17, 58","0.66","M, 18, 58","0.67","M, 19, 58","0.69","M, 20, 58","0.67","M, 21, 58","0.68","M, 22, 58","0.66","M, 23, 58","0.68","M, 24, 58","0.67","M, 25, 58","0.67","M, 26, 58","0.65","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","1.59","M, 11, 58","1.39","M, 12, 58","1.43","M, 13, 58","1.36","M, 14, 58","1.40","M, 15, 58","1.43","M, 16, 58","1.55","M, 17, 58","1.55","M, 18, 58","1.58","M, 19, 58","1.59","M, 20, 58","1.55","M, 21, 58","1.53","M, 22, 58","1.52","M, 23, 58","1.51","M, 24, 58","1.48","M, 25, 58","1.45","M, 26, 58","1.42","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","0.12","M, 11, 58","0.12","M, 12, 58","0.09","M, 13, 58","0.05","M, 14, 58","0.04","M, 15, 58","0.04","M, 16, 58","0.07","M, 17, 58","0.07","M, 18, 58","0.09","M, 19, 58","0.11","M, 20, 58","0.11","M, 21, 58","0.10","M, 22, 58","0.10","M, 23, 58","0.12","M, 24, 58","0.15","M, 25, 58","0.14","M, 26, 58","0.13","M, 27, 58"
"1","1.2","1.2.1","C010201","Proportion of population living below the national poverty line, by sex and age","SI_POV_NAHC","SD","Proportion of population below national poverty line","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.80","CA, 22, 168","26.20","CA, 23, 168","24.20","CA, 24, 168","22.10","CA, 25, 168","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.20","E, 22, 59, 169","","","","","","","","","",""
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","<5.0","E, 28, 62","<5.0","E, 29, 62","<5.0","E, 30, 62","<5.0","E, 31, 62","<5.0","E, 32, 62","<5.0","E, 33, 62","<5.0","E, 34, 62","<5.0","E, 35, 62","<5.0","E, 36, 62","<5.0","E, 37, 62","<5.0","E, 38, 62","<5.0","E, 39, 62","<5.0","E, 40, 62","<5.0","E, 41, 62","<5.0","E, 42, 62","<5.0","E, 43, 62","<5.0","E, 44, 62","<5.0","E, 45, 62","<5.0","E, 46, 62","<5.0","E, 47, 62","<5.0","E, 48, 62","<5.0","E, 49, 62","<5.0","E, 50, 62, 170","<5.0","E, 51, 62, 170","<5.0","E, 52, 62, 170","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 years old and over","Rural","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.13","G, 26, 63","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.23","G, 26, 63","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.40","G, 26, 63","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.07","G, 26, 63","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","M49_EUR_SE","MKD","The former Yugoslav Republic of Macedonia","","True","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.64","G, 26, 63","",""
