"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","32.31","CA, 9, 29","33.65","CA, 10, 29","30.51","CA, 11, 29","27.85","CA, 12, 29","20.93","C, 13, 28","18.98","CA, 14, 29","20.03","CA, 15, 29","20.07","CA, 16, 29","","","","","","","","","","","","","","","","","",""
"6","6.1","6.1.1","C060101","Proportion of population using safely managed drinking water services","SH_H2O_SAFE","SD","Proportion of population using safely managed drinking water services","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","94.78","E, 9, 30","94.78","E, 10, 30","94.78","E, 11, 30","94.78","E, 12, 30","94.78","E, 13, 30","95.47","E, 14, 30","96.17","E, 15, 30","96.88","E, 16, 30","97.59","E, 17, 30","98.29","E, 18, 30","99.00","E, 19, 30","99.71","E, 20, 30","99.76","E, 21, 30","99.78","E, 22, 30","99.81","E, 23, 30","99.83","E, 24, 30","",""
"7","7.2","7.2.1","C070201","Renewable energy share in the total final energy consumption","EG_FEC_RNEW","SD","Renewable energy share in the total final energy consumption","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","2.06","NA, 9","2.04","NA, 10","2.07","NA, 11","1.96","NA, 12","2.06","NA, 13","2.12","NA, 14","2.09","NA, 15","2.48","NA, 16","2.52","NA, 17","2.62","NA, 18","2.63","NA, 19","2.55","NA, 20","2.49","NA, 21","2.48","NA, 22","2.43","NA, 23","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","50.40","C, 10, 33","55.00","C, 11, 31","49.10","C, 12, 33","49.20","C, 13, 33","42.70","C, 14, 33","56.30","C, 15, 33","45.00","C, 16, 33","50.00","C, 17, 31","57.50","C, 18, 31","59.30","C, 19, 31","56.60","C, 20, 31","57.30","C, 21, 31","63.90","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","56.30","C, 10, 33","59.60","C, 11, 31","50.00","C, 12, 33","54.50","C, 13, 33","50.00","C, 14, 33","62.70","C, 15, 33","37.90","C, 16, 33","50.80","C, 17, 31","53.20","C, 18, 31","56.50","C, 19, 31","55.90","C, 20, 31","53.40","C, 21, 31","64.60","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","44.10","C, 10, 33","51.50","C, 11, 31","46.80","C, 12, 33","45.60","C, 13, 33","36.50","C, 14, 33","50.00","C, 15, 33","51.40","C, 16, 33","48.30","C, 17, 31","59.70","C, 18, 31","60.70","C, 19, 31","57.10","C, 20, 31","59.70","C, 21, 31","63.30","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","26.30","C, 9, 32","24.00","C, 10, 33","22.90","C, 11, 31","21.00","C, 12, 33","21.60","C, 13, 33","18.70","C, 14, 33","24.00","C, 15, 33","21.10","C, 16, 33","22.30","C, 17, 31","21.80","C, 18, 31","21.00","C, 19, 31","20.80","C, 20, 31","21.00","C, 21, 31","22.80","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","30.80","C, 9, 32","28.20","C, 10, 33","26.00","C, 11, 31","23.20","C, 12, 33","23.70","C, 13, 33","20.40","C, 14, 33","24.70","C, 15, 33","21.60","C, 16, 33","24.20","C, 17, 31","22.90","C, 18, 31","22.20","C, 19, 31","22.50","C, 20, 31","22.60","C, 21, 31","22.80","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","22.10","C, 9, 32","19.80","C, 10, 33","19.90","C, 11, 31","18.80","C, 12, 33","19.40","C, 13, 33","16.90","C, 14, 33","23.40","C, 15, 33","20.70","C, 16, 33","20.20","C, 17, 31","20.60","C, 18, 31","19.70","C, 19, 31","19.00","C, 20, 31","19.30","C, 21, 31","22.80","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","21.60","C, 10, 33","20.20","C, 11, 31","18.90","C, 12, 33","19.20","C, 13, 33","16.70","C, 14, 33","20.90","C, 15, 33","19.10","C, 16, 33","19.40","C, 17, 31","18.70","C, 18, 31","17.40","C, 19, 31","17.50","C, 20, 31","18.20","C, 21, 31","19.20","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","25.70","C, 10, 33","23.60","C, 11, 31","21.40","C, 12, 33","21.40","C, 13, 33","18.20","C, 14, 33","21.20","C, 15, 33","20.40","C, 16, 33","22.00","C, 17, 31","20.60","C, 18, 31","19.50","C, 19, 31","20.10","C, 20, 31","20.50","C, 21, 31","19.90","C, 22, 31","","","","","",""
"8","8.5","8.5.2","C080502","Unemployment rate, by sex, age and persons with disabilities","SL_TLF_UEM","SD","Unemployment rate","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","17.50","C, 10, 33","16.90","C, 11, 31","16.40","C, 12, 33","16.90","C, 13, 33","15.20","C, 14, 33","20.50","C, 15, 33","17.70","C, 16, 33","16.50","C, 17, 31","16.70","C, 18, 31","14.90","C, 19, 31","14.50","C, 20, 31","15.40","C, 21, 31","18.30","C, 22, 31","","","","","",""
"9","9.c","9.c.1","C090c01","Proportion of population covered by a mobile network, by technology","IT_MOB_2GNTWK","SD","Proportion of population covered by at least a 2G mobile network","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.00","13","99.00","14","99.00","15","","","","","","","","","","","","","","","","","","","",""
"11","11.5","11.5.2","C110502","Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters","VC_DSR_AALT","+","Direct disaster economic loss, average annual loss","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","USD","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430.40","25"
"11","11.5","11.5.2","C110502","Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters","VC_DSR_EXVAL","+","Direct disaster economic loss, exposed value","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","USD","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39,559.90","E, 25, 27"
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARIN","SD","Coverage of protected areas in relation to marine areas","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.86","NA, 25, 35, 42"
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_MARINT","+","Coverage of protected areas in relation to marine areas","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Square kilometers","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47,576.00","NA, 25, 35, 42"
"14","14.5","14.5.1","C140501","Coverage of protected areas in relation to marine areas","ER_MRN_TOTL","+","Coverage of protected areas in relation to marine areas","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Square kilometers","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47,644.30","NA, 25, 35, 42"
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_FRST","SD","Forest area as a proportion of total land area","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","45.75","NA, 1, 36","","","","","","","","","","","","","","","","","","","45.75","NA, 9, 36","","","","","","","","","45.75","NA, 14, 36","","","","","","","","","45.75","NA, 19, 36","","","","","","","","","45.75","NA, 24, 36","",""
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_FRSTN","+","Forest area as a proportion of total land area","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Units","48.50","NA, 1, 36","","","","","","","","","","","","","","","","","","","48.50","NA, 9, 36","","","","","","","","","48.50","NA, 14, 36","","","","","","","","","48.50","NA, 19, 36","","","","","","","","","48.50","NA, 24, 36","",""
"15","15.1","15.1.1","C150101","Forest area as a proportion of total land area","AG_LND_TOTL","+","Forest area as a proportion of total land area","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.00","NA, 24, 36","",""
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","75.06","C, 9, 37","75.06","C, 10, 37","75.06","C, 11, 37","75.06","C, 12, 37","75.06","C, 13, 37","75.06","C, 14, 37","75.06","C, 15, 37","75.06","C, 16, 37","75.06","C, 17, 37","75.06","C, 18, 37","99.12","C, 19, 37","99.12","C, 20, 37","99.12","C, 21, 37","99.12","C, 22, 37","99.12","C, 23, 37","99.12","C, 24, 37","99.12","C, 25, 37"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","75.06","C, 9, 37","75.06","C, 10, 37","75.06","C, 11, 37","75.06","C, 12, 37","75.06","C, 13, 37","75.06","C, 14, 37","75.06","C, 15, 37","75.06","C, 16, 37","75.06","C, 17, 37","75.06","C, 18, 37","99.12","C, 19, 37","99.12","C, 20, 37","99.12","C, 21, 37","99.12","C, 22, 37","99.12","C, 23, 37","99.12","C, 24, 37","99.12","C, 25, 37"
"15","15.1","15.1.2","C150102","Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type","ER_PTD_TERR","SD","Proportion of important sites for terrestrial biodiversity that are covered by protected areas","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","75.06","C, 9, 37","75.06","C, 10, 37","75.06","C, 11, 37","75.06","C, 12, 37","75.06","C, 13, 37","75.06","C, 14, 37","75.06","C, 15, 37","75.06","C, 16, 37","75.06","C, 17, 37","75.06","C, 18, 37","99.12","C, 19, 37","99.12","C, 20, 37","99.12","C, 21, 37","99.12","C, 22, 37","99.12","C, 23, 37","99.12","C, 24, 37","99.12","C, 25, 37"
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTBIOM","+","Above-ground biomass in forest","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Metric Tons","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.20","NA, 19, 36","","","","","","","","","14.20","NA, 24, 36","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTBIOPHA","+","Above-ground biomass in forest per hectare","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Tonnes per hectare","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292.78","NA, 19, 36","","","","","","","","","14.20","NA, 24, 36","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTCERT","SD","Proportion of forest area certified under an independently verified certification scheme","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00","NA, 19, 36, 43","","","","","","","0.00","NA, 23, 36, 43","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTMGT","SD","Proportion of forest area with a long-term management plan","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.00","NA, 14, 36, 44","","","","","","","","","20.00","NA, 19, 36, 44","","","","","","","","","","","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTPRCT","+","Proportion of forest area within legally established protected areas","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.54","NA, 19, 36","","","","","","","","","14.02","NA, 24, 36","",""
"15","15.2","15.2.1","C150201","Progress towards sustainable forest management","AG_LND_FRSTPRCTN","+","Forest area within legally established protected areas","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Hectares","Thousands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.20","NA, 19, 36","","","","","","","","","6.80","NA, 24, 36","",""
"15","15.4","15.4.1","C150401","Coverage by protected areas of important sites for mountain biodiversity","ER_PTD_MTN","SD","Coverage by protected areas of important sites for mountain biodiversity","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","97.58","C, 9, 37","97.58","C, 10, 37","97.58","C, 11, 37","97.58","C, 12, 37","97.58","C, 13, 37","97.58","C, 14, 37","97.58","C, 15, 37","97.58","C, 16, 37","97.58","C, 17, 37","97.58","C, 18, 37","99.44","C, 19, 37","99.44","C, 20, 37","99.44","C, 21, 37","99.44","C, 22, 37","99.44","C, 23, 37","99.44","C, 24, 37","99.44","C, 25, 37"
"15","15.4","15.4.1","C150401","Coverage by protected areas of important sites for mountain biodiversity","ER_PTD_MTN","SD","Coverage by protected areas of important sites for mountain biodiversity","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","97.58","C, 9, 37","97.58","C, 10, 37","97.58","C, 11, 37","97.58","C, 12, 37","97.58","C, 13, 37","97.58","C, 14, 37","97.58","C, 15, 37","97.58","C, 16, 37","97.58","C, 17, 37","97.58","C, 18, 37","99.44","C, 19, 37","99.44","C, 20, 37","99.44","C, 21, 37","99.44","C, 22, 37","99.44","C, 23, 37","99.44","C, 24, 37","99.44","C, 25, 37"
"15","15.4","15.4.1","C150401","Coverage by protected areas of important sites for mountain biodiversity","ER_PTD_MTN","SD","Coverage by protected areas of important sites for mountain biodiversity","MDG_LAC_CAR","MTQ","Martinique","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Percent","Units","","","","","","","","","","","","","","","","","","","","","97.58","C, 9, 37","97.58","C, 10, 37","97.58","C, 11, 37","97.58","C, 12, 37","97.58","C, 13, 37","97.58","C, 14, 37","97.58","C, 15, 37","97.58","C, 16, 37","97.58","C, 17, 37","97.58","C, 18, 37","99.44","C, 19, 37","99.44","C, 20, 37","99.44","C, 21, 37","99.44","C, 22, 37","99.44","C, 23, 37","99.44","C, 24, 37","99.44","C, 25, 37"
