"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","<5.0","E, 26, 53","<5.0","E, 27, 53","<5.0","E, 28, 53","<5.0","E, 29, 53","<5.0","E, 30, 53","<5.0","E, 31, 53","<5.0","E, 32, 53","<5.0","E, 33, 53","<5.0","E, 34, 53","<5.0","E, 35, 53","<5.0","E, 36, 53","<5.0","E, 37, 53","<5.0","E, 38, 53","<5.0","E, 39, 53","<5.0","E, 40, 53","<5.0","E, 41, 53","<5.0","E, 42, 53","<5.0","E, 43, 53","<5.0","E, 44, 53","<5.0","E, 45, 53","<5.0","E, 46, 53","<5.0","E, 47, 53","<5.0","E, 48, 53, 90","<5.0","E, 49, 53, 90","<5.0","E, 50, 53, 90","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_IMRT","+","Infant mortality rate","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","under 1 year old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 live births","Units","","","","","","","","","","","","","","","","","","","","","4.20","9, 54","4.10","10, 54","3.90","11, 54","3.80","12, 54","3.70","13, 54","3.70","14, 54","3.60","15, 54","3.50","16, 54","3.40","17, 54","3.30","18, 54","3.20","19, 54","3.20","20, 54","3.10","21, 54","3.00","22, 54","2.90","23, 54","2.80","24, 54","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_IMRTN","+","Number of infant deaths","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","under 1 year old","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","1.00","9, 54","1.00","10, 54","1.00","11, 54","1.00","12, 54","1.00","13, 54","1.00","14, 54","1.00","15, 54","1.00","16, 54","1.00","17, 54","0.00","18, 54","0.00","19, 54","1.00","20, 54","1.00","21, 54","1.00","22, 54","2.00","23, 54","2.00","24, 54","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_MORT","SD","Under-five mortality rate","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 live births","Units","","","","","","","","","","","","","","","","","","","","","5.20","9, 54","5.00","10, 54","4.80","11, 54","4.70","12, 54","4.60","13, 54","4.50","14, 54","4.40","15, 54","4.30","16, 54","4.20","17, 54","4.10","18, 54","4.00","19, 54","3.90","20, 54","3.80","21, 54","3.70","22, 54","3.60","23, 54","3.50","24, 54","",""
"3","3.2","3.2.1","C030201","Under-five mortality rate","SH_DYN_MORTN","+","Number of under-five deaths","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","1.00","9, 54","1.00","10, 54","1.00","11, 54","2.00","12, 54","2.00","13, 54","1.00","14, 54","1.00","15, 54","1.00","16, 54","1.00","17, 54","1.00","18, 54","1.00","19, 54","1.00","20, 54","1.00","21, 54","1.00","22, 54","2.00","23, 54","2.00","24, 54","",""
"3","3.2","3.2.2","C030202","Neonatal mortality rate","SH_DYN_NMRT","SD","Neonatal mortality rate","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","under 1 month old","Total (national level)","Both sexes or no breakdown by sex","","Per 1,000 live births","Units","","","","","","","","","","","","","","","","","","","","","2.80","9, 54","2.70","10, 54","2.60","11, 54","2.50","12, 54","2.50","13, 54","2.40","14, 54","2.40","15, 54","2.30","16, 54","2.30","17, 54","2.20","18, 54","2.20","19, 54","2.10","20, 54","2.10","21, 54","2.00","22, 54","2.00","23, 54","1.90","24, 54","",""
"3","3.2","3.2.2","C030202","Neonatal mortality rate","SH_DYN_NMRTN","+","Number of neonatal deaths","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","under 1 month old","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","1.00","9, 54","1.00","10, 54","1.00","11, 54","1.00","12, 54","1.00","13, 54","1.00","14, 54","1.00","15, 54","1.00","16, 54","0.00","17, 54","0.00","18, 54","0.00","19, 54","0.00","20, 54","1.00","21, 54","1.00","22, 54","1.00","23, 54","1.00","24, 54","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","0.00","E, 9, 55, 91","0.00","E, 10, 55, 91","0.00","E, 11, 55, 91","0.39","E, 12, 55, 91","0.78","E, 13, 55, 91","1.20","E, 14, 55, 91","1.60","E, 15, 55, 91","2.00","E, 16, 55, 91","2.30","E, 17, 55, 91","2.70","E, 18, 55, 91","3.10","E, 19, 55, 91","2.30","E, 20, 55, 91","1.60","E, 21, 55, 91","0.78","E, 22, 55, 91","0.00","E, 23, 55, 91","0.00","E, 24, 55, 91","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","0.33","E, 12, 55, 91","0.67","E, 13, 55, 91","1.00","E, 14, 55, 91","1.30","E, 15, 55, 91","1.70","E, 16, 55, 91","2.00","E, 17, 55, 91","2.30","E, 18, 55, 91","2.70","E, 19, 55, 91","2.00","E, 20, 55, 91","1.30","E, 21, 55, 91","0.67","E, 22, 55, 91","","","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","M49_EUR_WE","MCO","Monaco","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","0.45","E, 12, 55, 91","0.90","E, 13, 55, 91","1.30","E, 14, 55, 91","1.80","E, 15, 55, 91","2.20","E, 16, 55, 91","2.70","E, 17, 55, 91","3.10","E, 18, 55, 91","3.60","E, 19, 55, 91","2.70","E, 20, 55, 91","1.80","E, 21, 55, 91","0.90","E, 22, 55, 91","","","","","",""
