"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23","G, 16, 56, 159","0.14","G, 17, 56, 159","0.36","G, 18, 56, 159","0.19","G, 19, 56, 159","0.00","G, 20, 56, 159","0.00","G, 21, 56, 159","0.21","G, 22, 56, 159","1.26","G, 23, 56, 159","1.04","G, 24, 56, 159","0.00","G, 25, 56, 159","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.89","M, 11, 57","0.90","M, 12, 57","0.88","M, 13, 57","0.77","M, 14, 57","0.81","M, 15, 57","0.77","M, 16, 57","0.78","M, 17, 57","0.88","M, 18, 57","0.95","M, 19, 57","0.70","M, 20, 57","0.55","M, 21, 57","0.42","M, 22, 57","0.79","M, 23, 57","0.77","M, 24, 57","0.79","M, 25, 57","0.77","M, 26, 57","0.74","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.00","M, 11, 57","1.00","M, 12, 57","0.99","M, 13, 57","0.89","M, 14, 57","0.92","M, 15, 57","0.88","M, 16, 57","0.91","M, 17, 57","1.01","M, 18, 57","1.14","M, 19, 57","0.87","M, 20, 57","0.72","M, 21, 57","0.55","M, 22, 57","1.03","M, 23, 57","1.01","M, 24, 57","1.03","M, 25, 57","0.99","M, 26, 57","0.96","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.81","M, 11, 57","0.83","M, 12, 57","0.80","M, 13, 57","0.70","M, 14, 57","0.74","M, 15, 57","0.69","M, 16, 57","0.69","M, 17, 57","0.79","M, 18, 57","0.81","M, 19, 57","0.58","M, 20, 57","0.44","M, 21, 57","0.35","M, 22, 57","0.59","M, 23, 57","0.58","M, 24, 57","0.61","M, 25, 57","0.59","M, 26, 57","0.58","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.57","M, 11, 57","0.57","M, 12, 57","0.56","M, 13, 57","0.53","M, 14, 57","0.52","M, 15, 57","0.50","M, 16, 57","0.51","M, 17, 57","0.58","M, 18, 57","0.57","M, 19, 57","0.51","M, 20, 57","0.50","M, 21, 57","0.41","M, 22, 57","0.56","M, 23, 57","0.55","M, 24, 57","0.55","M, 25, 57","0.53","M, 26, 57","0.51","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.09","M, 11, 57","1.09","M, 12, 57","1.07","M, 13, 57","1.04","M, 14, 57","1.01","M, 15, 57","0.97","M, 16, 57","0.97","M, 17, 57","1.13","M, 18, 57","1.08","M, 19, 57","1.01","M, 20, 57","1.03","M, 21, 57","0.85","M, 22, 57","1.14","M, 23, 57","1.13","M, 24, 57","1.12","M, 25, 57","1.09","M, 26, 57","1.05","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.18","M, 11, 57","0.19","M, 12, 57","0.17","M, 13, 57","0.14","M, 14, 57","0.16","M, 15, 57","0.15","M, 16, 57","0.15","M, 17, 57","0.16","M, 18, 57","0.19","M, 19, 57","0.13","M, 20, 57","0.11","M, 21, 57","0.06","M, 22, 57","0.11","M, 23, 57","0.10","M, 24, 57","0.11","M, 25, 57","0.10","M, 26, 57","0.10","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.53","M, 11, 57","0.53","M, 12, 57","0.52","M, 13, 57","0.50","M, 14, 57","0.49","M, 15, 57","0.47","M, 16, 57","0.48","M, 17, 57","0.55","M, 18, 57","0.53","M, 19, 57","0.49","M, 20, 57","0.50","M, 21, 57","0.41","M, 22, 57","0.54","M, 23, 57","0.53","M, 24, 57","0.52","M, 25, 57","0.51","M, 26, 57","0.49","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.09","M, 11, 57","1.10","M, 12, 57","1.08","M, 13, 57","1.06","M, 14, 57","1.02","M, 15, 57","0.98","M, 16, 57","0.98","M, 17, 57","1.14","M, 18, 57","1.07","M, 19, 57","1.02","M, 20, 57","1.05","M, 21, 57","0.87","M, 22, 57","1.15","M, 23, 57","1.14","M, 24, 57","1.12","M, 25, 57","1.09","M, 26, 57","1.06","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","MNE","Montenegro","","","","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.11","M, 11, 57","0.11","M, 12, 57","0.10","M, 13, 57","0.08","M, 14, 57","0.09","M, 15, 57","0.08","M, 16, 57","0.09","M, 17, 57","0.10","M, 18, 57","0.13","M, 19, 57","0.10","M, 20, 57","0.09","M, 21, 57","0.04","M, 22, 57","0.07","M, 23, 57","0.06","M, 24, 57","0.07","M, 25, 57","0.06","M, 26, 57","0.06","M, 27, 57"
