"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"2","2.a","2.a.2","C020a02","Total official flows (official development assistance plus other official flows) to the agriculture sector","DC_TOF_AGRL","SD","Total official flows disbursements for agriculture, by recipient","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","0.65","NA, 9, 46","0.60","NA, 10, 46","0.42","NA, 11, 47","0.08","NA, 12, 47","0.03","NA, 13, 47","0.08","NA, 14, 47","2.43","NA, 15, 47","2.68","NA, 16, 47","0.91","NA, 17, 47","","","0.01","NA, 19, 47","","","","","","","","","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","0.00","E, 9, 28, 48","0.00","E, 10, 28, 48","0.00","E, 11, 28, 48","26.00","E, 12, 28, 48","0.00","E, 13, 28, 48","24.00","E, 14, 28, 48","0.00","E, 15, 28, 48","47.00","E, 16, 28, 48","31.00","E, 17, 28, 48","16.00","E, 18, 28, 48","0.00","E, 19, 28, 48","0.00","E, 20, 28, 48","0.00","E, 21, 28, 48","0.00","E, 22, 28, 48","0.00","E, 23, 28, 48","0.00","E, 24, 28, 48","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","22.00","E, 12, 28, 48","","","21.00","E, 14, 28, 48","","","40.00","E, 16, 28, 48","27.00","E, 17, 28, 48","13.00","E, 18, 28, 48","","","","","","","","","","","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","30.00","E, 12, 28, 48","","","28.00","E, 14, 28, 48","","","54.00","E, 16, 28, 48","36.00","E, 17, 28, 48","18.00","E, 18, 28, 48","","","","","","","","","","","","","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","66.70","C, 9, 29","32.00","C, 10, 29","8.80","C, 11, 29","45.50","C, 12, 29","53.60","C, 13, 29","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3.b","3.b.2","C030b02","Total net official development assistance to medical research and basic health sectors","DC_TOF_HLTHL","SD","Total gross official disbursements for medical research and basic heath sectors, by recipient","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19","NA, 17, 47","0.46","NA, 18, 47","","","0.18","NA, 20, 47","","","0.22","NA, 22, 47","0.89","NA, 23, 47","","","",""
"3","3.b","3.b.2","C030b02","Total net official development assistance to medical research and basic health sectors","DC_TOF_HLTHNT","SD","Total net official disbursements for medical research and basic heath sectors, by recipient","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.01","NA, 19, 49","0.18","NA, 20, 49","","","0.22","NA, 22, 49","0.89","NA, 23, 49","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","91.18","CA, 11, 30","","","90.62","CA, 13, 30","78.28","CA, 14, 30","67.65","E, 15, 30","97.43","CA, 16, 30","","","","","","","","","","","","","","","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","91.18","CA, 11, 30","","","79.06","CA, 13, 30","100.00","CA, 14, 30","71.88","E, 15, 30","100.00","CA, 16, 30","","","","","","","","","","","","","","","","","",""
"4","4.2","4.2.2","C040202","Participation rate in organized learning (one year before the official primary entry age), by sex","SE_PRE_PARTN","SD","Participation rate in organized learning (one year before the official primary entry age)","MDG_LAC_CAR","MSR","Montserrat","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","91.18","CA, 11, 30","","","100.00","CA, 13, 30","59.05","CA, 14, 30","63.89","E, 15, 30","94.52","CA, 16, 30","","","","","","","","","","","","","","","","","",""
