"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_DISAB","SD","Proportion of population with severe disabilities collecting disability social protection benefits","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.28","E, 27, 55, 167"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.00","E, 23, 55, 167","","","100.00","E, 25, 55, 167","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_POOR","SD","Proportion of poor population covered by social protection floors/systems","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.42","E, 27, 55, 167"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_UEMP","SD","Proportion of unemployed receiving unemployment benefits","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.90","E, 24, 55, 167","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_VULN","SD","Proportion of vulnerable population covered by social protection floors/systems","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.75","E, 27, 55, 167"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_WKINJRY","SD","Proportion of employed population covered in the event of work injury","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 24, 55, 167","","","","","",""
"1","1.5","1.5.3","C200304","Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030","SG_DSR_LEGREG","+","Number of countries with legislative and/or regulatory provisions been made for managing disaster risk","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 24, 57, 168","","","1.00","C, 26, 57, 168","",""
"2","2.1","2.1.1","C020101","Prevalence of undernourishment","SN_ITK_DEFC","SD","Prevalence of undernourishment","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","<5.0","E, 28, 58","<5.0","E, 29, 58","<5.0","E, 30, 58","<5.0","E, 31, 58","<5.0","E, 32, 58","<5.0","E, 33, 58","<5.0","E, 34, 58","<5.0","E, 35, 58","<5.0","E, 36, 58","<5.0","E, 37, 58","<5.0","E, 38, 58","<5.0","E, 39, 58","<5.0","E, 40, 58","<5.0","E, 41, 58","<5.0","E, 42, 58","<5.0","E, 43, 58","<5.0","E, 44, 58","<5.0","E, 45, 58","<5.0","E, 46, 58","<5.0","E, 47, 58","<5.0","E, 48, 58","<5.0","E, 49, 58","<5.0","E, 50, 58, 169","<5.0","E, 51, 58, 169","<5.0","E, 52, 58, 169","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","15 years old and over","Rural","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.54","G, 26, 59","",""
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","SDG_OCE_ANZ","NZL","New Zealand","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.69","G, 26, 59","",""
