"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","M, 11, 29","0.00","M, 12, 29","0.00","M, 13, 29","0.00","M, 14, 29","0.00","M, 15, 29","0.00","M, 16, 29","0.00","M, 17, 29","0.00","M, 18, 29","0.00","M, 19, 29","0.00","M, 20, 29","0.00","M, 21, 29","0.00","M, 22, 29","0.00","M, 23, 29","0.00","M, 24, 29","0.00","M, 25, 29","0.00","M, 26, 29","0.00","M, 27, 29"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","M, 11, 29","0.00","M, 12, 29","0.00","M, 13, 29","0.00","M, 14, 29","0.00","M, 15, 29","0.00","M, 16, 29","0.00","M, 17, 29","0.00","M, 18, 29","0.00","M, 19, 29","0.00","M, 20, 29","0.00","M, 21, 29","0.00","M, 22, 29","0.00","M, 23, 29","0.00","M, 24, 29","0.00","M, 25, 29","0.00","M, 26, 29","0.00","M, 27, 29"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","M, 11, 29","0.00","M, 12, 29","0.00","M, 13, 29","0.00","M, 14, 29","0.00","M, 15, 29","0.00","M, 16, 29","0.00","M, 17, 29","0.00","M, 18, 29","0.00","M, 19, 29","0.00","M, 20, 29","0.00","M, 21, 29","0.00","M, 22, 29","0.00","M, 23, 29","0.00","M, 24, 29","0.00","M, 25, 29","0.00","M, 26, 29","0.00","M, 27, 29"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","M, 11, 29","0.00","M, 12, 29","0.00","M, 13, 29","0.00","M, 14, 29","0.00","M, 15, 29","0.00","M, 16, 29","0.00","M, 17, 29","0.00","M, 18, 29","0.00","M, 19, 29","0.00","M, 20, 29","0.00","M, 21, 29","0.00","M, 22, 29","0.00","M, 23, 29","0.00","M, 24, 29","0.00","M, 25, 29","0.00","M, 26, 29","0.00","M, 27, 29"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","M, 11, 29","0.00","M, 12, 29","0.00","M, 13, 29","0.00","M, 14, 29","0.00","M, 15, 29","0.00","M, 16, 29","0.00","M, 17, 29","0.00","M, 18, 29","0.00","M, 19, 29","0.00","M, 20, 29","0.00","M, 21, 29","0.00","M, 22, 29","0.00","M, 23, 29","0.00","M, 24, 29","0.00","M, 25, 29","0.00","M, 26, 29","0.00","M, 27, 29"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","M, 11, 29","0.00","M, 12, 29","0.00","M, 13, 29","0.00","M, 14, 29","0.00","M, 15, 29","0.00","M, 16, 29","0.00","M, 17, 29","0.00","M, 18, 29","0.00","M, 19, 29","0.00","M, 20, 29","0.00","M, 21, 29","0.00","M, 22, 29","0.00","M, 23, 29","0.00","M, 24, 29","0.00","M, 25, 29","0.00","M, 26, 29","0.00","M, 27, 29"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","M, 11, 29","0.00","M, 12, 29","0.00","M, 13, 29","0.00","M, 14, 29","0.00","M, 15, 29","0.00","M, 16, 29","0.00","M, 17, 29","0.00","M, 18, 29","0.00","M, 19, 29","0.00","M, 20, 29","0.00","M, 21, 29","0.00","M, 22, 29","0.00","M, 23, 29","0.00","M, 24, 29","0.00","M, 25, 29","0.00","M, 26, 29","0.00","M, 27, 29"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","M, 11, 29","0.00","M, 12, 29","0.00","M, 13, 29","0.00","M, 14, 29","0.00","M, 15, 29","0.00","M, 16, 29","0.00","M, 17, 29","0.00","M, 18, 29","0.00","M, 19, 29","0.00","M, 20, 29","0.00","M, 21, 29","0.00","M, 22, 29","0.00","M, 23, 29","0.00","M, 24, 29","0.00","M, 25, 29","0.00","M, 26, 29","0.00","M, 27, 29"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.00","M, 11, 29","0.00","M, 12, 29","0.00","M, 13, 29","0.00","M, 14, 29","0.00","M, 15, 29","0.00","M, 16, 29","0.00","M, 17, 29","0.00","M, 18, 29","0.00","M, 19, 29","0.00","M, 20, 29","0.00","M, 21, 29","0.00","M, 22, 29","0.00","M, 23, 29","0.00","M, 24, 29","0.00","M, 25, 29","0.00","M, 26, 29","0.00","M, 27, 29"
"2","2.1","2.1.2","C020102","Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","AG_PRD_FIESMS","SD","Estimated prevalence of moderate or severe food insecurity in the population","MDG_LAC_CAR","PRI","Puerto Rico","","","True","Annual","Not available","15 years old and over","Rural","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.78","G, 26, 31","",""
