"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","2.37","G, 4, 54, 177","","","","","3.60","G, 7, 54, 177","1.13","G, 8, 54, 176","1.70","G, 9, 54, 176","3.40","G, 10, 54, 176","2.25","G, 11, 54, 176","1.24","G, 12, 54, 177","0.70","G, 13, 54, 176","1.06","G, 14, 54, 176","0.89","G, 15, 54, 176","0.66","G, 16, 54, 176","0.54","G, 17, 54, 176","0.20","G, 18, 54, 176","0.07","G, 19, 54, 176","0.04","G, 20, 54, 176","0.15","G, 21, 54, 176","0.08","G, 22, 54, 176","0.04","G, 23, 54, 176","","","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","2.82","M, 11, 55","2.52","M, 12, 55","2.37","M, 13, 55","2.28","M, 14, 55","2.21","M, 15, 55","2.15","M, 16, 55","2.01","M, 17, 55","1.98","M, 18, 55","2.16","M, 19, 55","1.94","M, 20, 55","1.98","M, 21, 55","2.02","M, 22, 55","1.88","M, 23, 55","1.92","M, 24, 55","1.90","M, 25, 55","1.87","M, 26, 55","1.80","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","2.90","M, 11, 55","2.62","M, 12, 55","2.50","M, 13, 55","2.45","M, 14, 55","2.32","M, 15, 55","2.29","M, 16, 55","2.17","M, 17, 55","2.12","M, 18, 55","2.09","M, 19, 55","2.02","M, 20, 55","1.98","M, 21, 55","1.99","M, 22, 55","1.88","M, 23, 55","1.91","M, 24, 55","1.90","M, 25, 55","1.86","M, 26, 55","1.80","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","2.76","M, 11, 55","2.45","M, 12, 55","2.27","M, 13, 55","2.15","M, 14, 55","2.12","M, 15, 55","2.04","M, 16, 55","1.89","M, 17, 55","1.87","M, 18, 55","2.21","M, 19, 55","1.88","M, 20, 55","1.98","M, 21, 55","2.04","M, 22, 55","1.87","M, 23, 55","1.94","M, 24, 55","1.91","M, 25, 55","1.87","M, 26, 55","1.79","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","1.51","M, 11, 55","1.39","M, 12, 55","1.32","M, 13, 55","1.42","M, 14, 55","1.43","M, 15, 55","1.44","M, 16, 55","1.39","M, 17, 55","1.49","M, 18, 55","1.45","M, 19, 55","1.25","M, 20, 55","1.35","M, 21, 55","1.41","M, 22, 55","1.49","M, 23, 55","1.45","M, 24, 55","1.44","M, 25, 55","1.37","M, 26, 55","1.30","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","1.90","M, 11, 55","1.75","M, 12, 55","1.59","M, 13, 55","1.63","M, 14, 55","1.57","M, 15, 55","1.50","M, 16, 55","1.45","M, 17, 55","1.37","M, 18, 55","1.34","M, 19, 55","1.32","M, 20, 55","1.35","M, 21, 55","1.35","M, 22, 55","1.33","M, 23, 55","1.33","M, 24, 55","1.33","M, 25, 55","1.32","M, 26, 55","1.32","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","1.14","M, 11, 55","1.05","M, 12, 55","1.06","M, 13, 55","1.21","M, 14, 55","1.30","M, 15, 55","1.38","M, 16, 55","1.33","M, 17, 55","1.60","M, 18, 55","1.56","M, 19, 55","1.18","M, 20, 55","1.35","M, 21, 55","1.46","M, 22, 55","1.64","M, 23, 55","1.56","M, 24, 55","1.55","M, 25, 55","1.41","M, 26, 55","1.28","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","1.33","M, 11, 55","1.23","M, 12, 55","1.17","M, 13, 55","1.30","M, 14, 55","1.33","M, 15, 55","1.35","M, 16, 55","1.31","M, 17, 55","1.43","M, 18, 55","1.36","M, 19, 55","1.16","M, 20, 55","1.28","M, 21, 55","1.34","M, 22, 55","1.45","M, 23, 55","1.41","M, 24, 55","1.40","M, 25, 55","1.33","M, 26, 55","1.27","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","1.78","M, 11, 55","1.64","M, 12, 55","1.48","M, 13, 55","1.53","M, 14, 55","1.48","M, 15, 55","1.41","M, 16, 55","1.37","M, 17, 55","1.29","M, 18, 55","1.26","M, 19, 55","1.24","M, 20, 55","1.29","M, 21, 55","1.29","M, 22, 55","1.28","M, 23, 55","1.29","M, 24, 55","1.29","M, 25, 55","1.29","M, 26, 55","1.29","M, 27, 55"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_EE","RUS","Russian Federation","","","","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","0.90","M, 11, 55","0.83","M, 12, 55","0.88","M, 13, 55","1.07","M, 14, 55","1.17","M, 15, 55","1.28","M, 16, 55","1.25","M, 17, 55","1.56","M, 18, 55","1.47","M, 19, 55","1.09","M, 20, 55","1.27","M, 21, 55","1.39","M, 22, 55","1.62","M, 23, 55","1.53","M, 24, 55","1.52","M, 25, 55","1.37","M, 26, 55","1.24","M, 27, 55"
