"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.70","E, 21, 29, 109","","","","","","","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_WKINJRY","SD","Proportion of employed population covered in the event of work injury","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.60","E, 24, 29, 109","","","","","",""
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_AFFCT","+","Number of persons affected by disaster per 100,000 people","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","2,688.06","E, 6, 30, 110","","","","","740.74","E, 9, 30, 110","1,973.37","E, 10, 30, 110","","","89.00","E, 12, 30, 110","","","","","2.89","E, 15, 30, 110","2.00","E, 16, 30, 110","22.47","E, 17, 30, 110","2.89","E, 18, 30, 110","178.50","E, 19, 30, 110","","","3.89","E, 21, 30, 110","8.68","E, 22, 30, 110","5.79","E, 23, 30, 110","33.89","E, 24, 30, 110","","","","","",""
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_MORT","+","Number of deaths due to disaster","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","6.00","C, 9, 30","1.00","C, 10, 30","","","","","","","","","","","","","2.00","C, 17, 30","4.00","C, 18, 30","1.00","C, 19, 30","","","2.00","C, 21, 30","1.00","C, 22, 30","","","","","2.00","C, 25, 30","","","",""
"1","1.5","1.5.2","C010502","Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)","VC_DSR_GDPLS","+","Direct economic loss attributed to disasters","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","USD","Millions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29,133.16","E, 15, 30, 111","","","1,741,887.13","E, 17, 30, 111","830,409.36","E, 18, 30, 111","726,248.08","E, 19, 30, 111","","","47,932.62","E, 21, 30, 111","87,399.48","E, 22, 30, 111","58,266.32","E, 23, 30, 111","29,133.16","E, 24, 30, 111","","","","","",""
"1","1.5","1.5.3","C200304","Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030","SG_DSR_LEGREG","+","Number of countries with legislative and/or regulatory provisions been made for managing disaster risk","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00","C, 24, 31, 112","","","1.00","C, 26, 31, 112","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_NRK_LBRED","SD","Proportion of local breeds classified as being at risk of extinction","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_NRK_LBREDN","+","Number of local breeds classified as being at risk of extinction","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_RSK_LBRED","SD","Proportion of local breeds classified as being not-at-risk of extinction","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_RSK_LBREDN","+","Number of local breeds classified as being not-at-risk of extinction","MDG_LAC_CAR","KNA","Saint Kitts and Nevis","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
