"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","35.83","G, 6, 30, 126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_WKINJRY","SD","Proportion of employed population covered in the event of work injury","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.50","E, 27, 31, 127"
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_AFFCT","+","Number of persons affected by disaster per 100,000 people","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","51.61","E, 1, 32, 128","","","34.41","E, 3, 32, 128","","","1,056.19","E, 5, 32, 128","6.88","E, 6, 32, 128","37.85","E, 7, 32, 128","","","52.61","E, 9, 32, 128","344.06","E, 10, 32, 128","","","","","","","","","116.54","E, 15, 32, 128","","","","","34.41","E, 18, 32, 128","30.97","E, 19, 32, 128","1.00","E, 20, 32, 128","6,982.61","E, 21, 32, 128","25.08","E, 22, 32, 128","","","2.00","E, 24, 32, 128","","","","","",""
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_MISS","+","Missing persons due to disaster","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","6.00","C, 5, 32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.00","C, 21, 32","2.00","C, 22, 32","","","","","","","","","",""
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_MORT","+","Number of deaths due to disaster","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","4.00","C, 5, 32","1.00","C, 6, 32","","","","","1.00","C, 9, 32","","","","","","","","","","","","","","","","","1.00","C, 18, 32","","","3.00","C, 20, 32","7.00","C, 21, 32","18.00","C, 22, 32","","","5.00","C, 24, 32","","","","","",""
"1","1.5","1.5.2","C010502","Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)","VC_DSR_GDPLS","+","Direct economic loss attributed to disasters","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","USD","Millions","","","","","","","","","","","","","","","","","","","","","","","","","1,314,055.05","E, 13, 32, 129","","","772,476.87","E, 15, 32, 129","","","","","1,717,493.73","E, 18, 32, 129","338,739.39","E, 19, 32, 129","23,241.12","E, 20, 32, 129","1,030,743.87","E, 21, 32, 129","73,790.57","E, 22, 32, 129","","","28,760.89","E, 24, 32, 129","","","","","",""
"2","2.2","2.2.1","C020201","Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age","SH_STA_STNT","SD","Proportion of stunted children (height for age below minus two standard deviations from the median) under the age of 5 years","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.50","CA, 28, 33","","","","","","","",""
"2","2.2","2.2.2","C020202","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","SH_STA_WAST","SD","Proportion of wasted children (weight for height below minus two standard deviations from the median) under the age of 5 years","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.70","CA, 28, 33","","","","","","","",""
"2","2.2","2.2.2","C020202","Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)","SN_STA_OVWGT","SD","Proportion of overweight children (weight for height above plus two standard deviations from the median) under the age of 5 years","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","under 5 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.30","CA, 28, 33","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_NRK_LBRED","SD","Proportion of local breeds classified as being at risk of extinction","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_NRK_LBREDN","+","Number of local breeds classified as being at risk of extinction","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_RSK_LBRED","SD","Proportion of local breeds classified as being not-at-risk of extinction","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_RSK_LBREDN","+","Number of local breeds classified as being not-at-risk of extinction","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_UNK_LBRED","SD","Proportion of local breeds classified as being at unknown level of risk of extinction","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.5","2.5.2","C020502","Proportion of local breeds classified as being at risk, not-at-risk or at unknown level of risk of extinction","ER_UNK_LBREDN","+","Number of local breeds classified as being at unknown level of risk of extinction","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","2.a","2.a.2","C020a02","Total official flows (official development assistance plus other official flows) to the agriculture sector","DC_TOF_AGRL","SD","Total official flows disbursements for agriculture, by recipient","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","12.53","NA, 11, 131","22.40","NA, 12, 131","6.99","NA, 13, 132","2.59","NA, 14, 132","0.16","NA, 15, 132","1.41","NA, 16, 132","1.15","NA, 17, 132","2.05","NA, 18, 132","7.87","NA, 19, 132","10.60","NA, 20, 132","4.40","NA, 21, 132","1.12","NA, 22, 132","0.37","NA, 23, 132","0.91","NA, 24, 132","0.28","NA, 25, 132","1.71","NA, 26, 132","",""
"3","3.1","3.1.1","C030101","Maternal mortality ratio","SH_STA_MORT","SD","Maternal mortality ratio","MDG_LAC_CAR","LCA","Saint Lucia","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 live births","Units","45.00","E, 1, 36, 133","42.00","E, 2, 36, 133","40.00","E, 3, 36, 133","39.00","E, 4, 36, 133","40.00","E, 5, 36, 133","43.00","E, 6, 36, 133","46.00","E, 7, 36, 133","49.00","E, 8, 36, 133","51.00","E, 9, 36, 133","52.00","E, 10, 36, 133","54.00","E, 11, 36, 133","58.00","E, 12, 36, 133","62.00","E, 13, 36, 133","68.00","E, 14, 36, 133","68.00","E, 15, 36, 133","67.00","E, 16, 36, 133","59.00","E, 17, 36, 133","61.00","E, 18, 36, 133","58.00","E, 19, 36, 133","56.00","E, 20, 36, 133","54.00","E, 21, 36, 133","52.00","E, 22, 36, 133","50.00","E, 23, 36, 133","49.00","E, 24, 36, 133","49.00","E, 25, 36, 133","48.00","E, 26, 36, 133","",""
