"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","0.17","G, 13, 57, 168","0.47","G, 14, 57, 168","0.87","G, 15, 57, 168","1.08","G, 16, 57, 168","0.47","G, 17, 57, 168","0.35","G, 18, 57, 168","0.07","G, 19, 57, 168","0.12","G, 20, 57, 168","0.10","G, 21, 57, 168","","","","","0.19","G, 24, 57, 168","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.02","M, 11, 58","0.99","M, 12, 58","0.91","M, 13, 58","0.83","M, 14, 58","0.68","M, 15, 58","0.62","M, 16, 58","0.59","M, 17, 58","0.50","M, 18, 58","0.60","M, 19, 58","0.42","M, 20, 58","0.44","M, 21, 58","0.42","M, 22, 58","0.44","M, 23, 58","0.42","M, 24, 58","0.39","M, 25, 58","0.40","M, 26, 58","0.42","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.15","M, 11, 58","0.14","M, 12, 58","0.13","M, 13, 58","0.12","M, 14, 58","0.11","M, 15, 58","0.10","M, 16, 58","0.09","M, 17, 58","0.10","M, 18, 58","0.10","M, 19, 58","0.09","M, 20, 58","0.08","M, 21, 58","0.08","M, 22, 58","0.08","M, 23, 58","0.08","M, 24, 58","0.08","M, 25, 58","0.08","M, 26, 58","0.09","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","1.56","M, 11, 58","1.51","M, 12, 58","1.38","M, 13, 58","1.25","M, 14, 58","1.00","M, 15, 58","0.90","M, 16, 58","0.85","M, 17, 58","0.75","M, 18, 58","0.90","M, 19, 58","0.62","M, 20, 58","0.62","M, 21, 58","0.58","M, 22, 58","0.60","M, 23, 58","0.58","M, 24, 58","0.57","M, 25, 58","0.59","M, 26, 58","0.61","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.30","M, 11, 58","0.29","M, 12, 58","0.26","M, 13, 58","0.24","M, 14, 58","0.20","M, 15, 58","0.17","M, 16, 58","0.16","M, 17, 58","0.16","M, 18, 58","0.19","M, 19, 58","0.13","M, 20, 58","0.12","M, 21, 58","0.10","M, 22, 58","0.10","M, 23, 58","0.11","M, 24, 58","0.12","M, 25, 58","0.11","M, 26, 58","0.12","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.15","M, 11, 58","0.15","M, 12, 58","0.15","M, 13, 58","0.15","M, 14, 58","0.16","M, 15, 58","0.16","M, 16, 58","0.14","M, 17, 58","0.14","M, 18, 58","0.14","M, 19, 58","0.14","M, 20, 58","0.14","M, 21, 58","0.14","M, 22, 58","0.14","M, 23, 58","0.14","M, 24, 58","0.14","M, 25, 58","0.14","M, 26, 58","0.14","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.41","M, 11, 58","0.39","M, 12, 58","0.34","M, 13, 58","0.30","M, 14, 58","0.23","M, 15, 58","0.18","M, 16, 58","0.16","M, 17, 58","0.18","M, 18, 58","0.22","M, 19, 58","0.13","M, 20, 58","0.10","M, 21, 58","0.08","M, 22, 58","0.08","M, 23, 58","0.09","M, 24, 58","0.10","M, 25, 58","0.10","M, 26, 58","0.10","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.22","M, 11, 58","0.21","M, 12, 58","0.19","M, 13, 58","0.18","M, 14, 58","0.15","M, 15, 58","0.13","M, 16, 58","0.12","M, 17, 58","0.14","M, 18, 58","0.15","M, 19, 58","0.12","M, 20, 58","0.10","M, 21, 58","0.09","M, 22, 58","0.08","M, 23, 58","0.09","M, 24, 58","0.10","M, 25, 58","0.10","M, 26, 58","0.10","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.16","M, 11, 58","0.15","M, 12, 58","0.15","M, 13, 58","0.16","M, 14, 58","0.16","M, 15, 58","0.16","M, 16, 58","0.15","M, 17, 58","0.14","M, 18, 58","0.14","M, 19, 58","0.14","M, 20, 58","0.14","M, 21, 58","0.14","M, 22, 58","0.14","M, 23, 58","0.14","M, 24, 58","0.14","M, 25, 58","0.14","M, 26, 58","0.14","M, 27, 58"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","M49_EUR_SE","SRB","Serbia","","","","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","0.27","M, 11, 58","0.25","M, 12, 58","0.22","M, 13, 58","0.19","M, 14, 58","0.15","M, 15, 58","0.11","M, 16, 58","0.10","M, 17, 58","0.13","M, 18, 58","0.16","M, 19, 58","0.10","M, 20, 58","0.06","M, 21, 58","0.05","M, 22, 58","0.04","M, 23, 58","0.05","M, 24, 58","0.07","M, 25, 58","0.07","M, 26, 58","0.07","M, 27, 58"
