"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_CHLD","SD","Proportion of children covered by social protection","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 27, 55, 182"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_DISAB","SD","Proportion of population with severe disabilities collecting disability social protection benefits","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.48","E, 27, 55, 182"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_MATNL","SD","Proportion of mothers receiving maternity benefits and benefits for newborns","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 27, 55, 182"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_MATNL","SD","Proportion of mothers receiving maternity benefits and benefits for newborns","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 27, 55, 182"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_PENSN","SD","Proportion of population above retirement age receiving a pension","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 23, 55, 182","","","100.00","E, 25, 55, 182","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_POOR","SD","Proportion of poor population covered by social protection floors/systems","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","E, 27, 55, 182"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_UEMP","SD","Proportion of unemployed receiving unemployment benefits","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.90","E, 25, 55, 182","","","",""
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_VULN","SD","Proportion of vulnerable population covered by social protection floors/systems","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.00","E, 27, 55, 182"
"1","1.3","1.3.1","C010301","Proportion of population covered by social protection floors/systems, by sex, distinguishing children, unemployed persons, older persons, persons with disabilities, pregnant women, newborns, work-injury victims and the poor and the vulnerable","SI_COV_WKINJRY","SD","Proportion of employed population covered in the event of work injury","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.30","E, 24, 55, 182","","","","","",""
"1","1.5","1.5.1","C200303","Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population","VC_DSR_AFFCT","+","Number of persons affected by disaster per 100,000 people","M49_EUR_SE","ESP","Spain","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Number","Units","352.63","E, 1, 57, 183","98.74","E, 2, 57, 183","1,060.24","E, 3, 57, 183","129.77","E, 4, 57, 183","782.78","E, 5, 57, 183","9,940.84","E, 6, 57, 183","10,854.83","E, 7, 57, 183","15,625.64","E, 8, 57, 183","1,744.57","E, 9, 57, 183","7,063.21","E, 10, 57, 183","7,679.19","E, 11, 57, 183","5,683.26","E, 12, 57, 183","5,812.49","E, 13, 57, 183","12,246.08","E, 14, 57, 183","1,004.29","E, 15, 57, 183","45.14","E, 16, 57, 183","6,714.22","E, 17, 57, 183","8,338.85","E, 18, 57, 183","1,571.67","E, 19, 57, 183","5,267.04","E, 20, 57, 183","9,357.53","E, 21, 57, 183","","","","","","","","","","","",""
