"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1987","FN","1988","FN","1989","FN","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_DAY1","SD","Proportion of population below the international poverty line of US$1.90 per day","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","3.41","G, 3, 56, 171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","2.62","M, 11, 57","2.56","M, 12, 57","2.40","M, 13, 57","2.26","M, 14, 57","2.35","M, 15, 57","2.34","M, 16, 57","2.22","M, 17, 57","2.20","M, 18, 57","2.06","M, 19, 57","2.00","M, 20, 57","1.83","M, 21, 57","1.91","M, 22, 57","1.83","M, 23, 57","1.87","M, 24, 57","1.83","M, 25, 57","1.77","M, 26, 57","1.71","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","2.03","M, 11, 57","2.05","M, 12, 57","1.96","M, 13, 57","1.86","M, 14, 57","2.02","M, 15, 57","2.03","M, 16, 57","2.09","M, 17, 57","2.00","M, 18, 57","1.90","M, 19, 57","1.72","M, 20, 57","1.61","M, 21, 57","1.73","M, 22, 57","1.67","M, 23, 57","1.76","M, 24, 57","1.67","M, 25, 57","1.60","M, 26, 57","1.54","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","15 to 24 years old","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","2.97","M, 11, 57","2.88","M, 12, 57","2.68","M, 13, 57","2.51","M, 14, 57","2.57","M, 15, 57","2.55","M, 16, 57","2.31","M, 17, 57","2.34","M, 18, 57","2.16","M, 19, 57","2.19","M, 20, 57","1.98","M, 21, 57","2.03","M, 22, 57","1.94","M, 23, 57","1.95","M, 24, 57","1.94","M, 25, 57","1.89","M, 26, 57","1.83","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","15 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","2.13","M, 11, 57","2.11","M, 12, 57","2.02","M, 13, 57","1.89","M, 14, 57","1.92","M, 15, 57","1.91","M, 16, 57","1.79","M, 17, 57","1.74","M, 18, 57","1.70","M, 19, 57","1.66","M, 20, 57","1.64","M, 21, 57","1.68","M, 22, 57","1.63","M, 23, 57","1.64","M, 24, 57","1.62","M, 25, 57","1.60","M, 26, 57","1.57","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","15 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","1.68","M, 11, 57","1.68","M, 12, 57","1.63","M, 13, 57","1.59","M, 14, 57","1.71","M, 15, 57","1.77","M, 16, 57","1.72","M, 17, 57","1.61","M, 18, 57","1.65","M, 19, 57","1.59","M, 20, 57","1.60","M, 21, 57","1.66","M, 22, 57","1.63","M, 23, 57","1.66","M, 24, 57","1.65","M, 25, 57","1.62","M, 26, 57","1.60","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","15 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","2.39","M, 11, 57","2.36","M, 12, 57","2.26","M, 13, 57","2.08","M, 14, 57","2.05","M, 15, 57","2.00","M, 16, 57","1.85","M, 17, 57","1.83","M, 18, 57","1.73","M, 19, 57","1.72","M, 20, 57","1.67","M, 21, 57","1.69","M, 22, 57","1.63","M, 23, 57","1.63","M, 24, 57","1.60","M, 25, 57","1.57","M, 26, 57","1.54","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","25 years old and over","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","2.00","M, 11, 57","2.00","M, 12, 57","1.93","M, 13, 57","1.81","M, 14, 57","1.81","M, 15, 57","1.80","M, 16, 57","1.69","M, 17, 57","1.63","M, 18, 57","1.62","M, 19, 57","1.60","M, 20, 57","1.61","M, 21, 57","1.64","M, 22, 57","1.60","M, 23, 57","1.61","M, 24, 57","1.59","M, 25, 57","1.57","M, 26, 57","1.55","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","25 years old and over","Total (national level)","Female","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","1.59","M, 11, 57","1.59","M, 12, 57","1.54","M, 13, 57","1.53","M, 14, 57","1.63","M, 15, 57","1.71","M, 16, 57","1.62","M, 17, 57","1.52","M, 18, 57","1.60","M, 19, 57","1.56","M, 20, 57","1.60","M, 21, 57","1.65","M, 22, 57","1.62","M, 23, 57","1.65","M, 24, 57","1.65","M, 25, 57","1.63","M, 26, 57","1.61","M, 27, 57"
"1","1.1","1.1.1","C010101","Proportion of population below the international poverty line, by sex, age, employment status and geographical location (urban/rural)","SI_POV_EMP1","SD","Proportion of employed population below the international poverty line of US$1.90 per day (the working poor)","MDG_LAC_CAR","TTO","Trinidad and Tobago","","","True","Annual","Not available","25 years old and over","Total (national level)","Male","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","2.25","M, 11, 57","2.24","M, 12, 57","2.16","M, 13, 57","1.98","M, 14, 57","1.92","M, 15, 57","1.86","M, 16, 57","1.74","M, 17, 57","1.71","M, 18, 57","1.64","M, 19, 57","1.62","M, 20, 57","1.61","M, 21, 57","1.63","M, 22, 57","1.59","M, 23, 57","1.58","M, 24, 57","1.55","M, 25, 57","1.53","M, 26, 57","1.51","M, 27, 57"
