"Goal","Target","Indicator Ref","IndicatorId","Indicator Description","Series Code","Series Type","Series Description","Parent Country or Area Code","Country or Area Code","Country or Area Name","LDC","LLDC","SIDS","Frequency","Source type","Age group","Location","Sex","Value type","Unit","Unit multiplier","1990","FN","1991","FN","1992","FN","1993","FN","1994","FN","1995","FN","1996","FN","1997","FN","1998","FN","1999","FN","2000","FN","2001","FN","2002","FN","2003","FN","2004","FN","2005","FN","2006","FN","2007","FN","2008","FN","2009","FN","2010","FN","2011","FN","2012","FN","2013","FN","2014","FN","2015","FN","2016","FN"
"2","2.a","2.a.2","C020a02","Total official flows (official development assistance plus other official flows) to the agriculture sector","DC_TOF_AGRL","SD","Total official flows disbursements for agriculture, by recipient","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","0.08","NA, 9, 43","","","","","","","","","","","","","0.00","NA, 16, 44","","","","","","","","","","","","","","","","","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","17.00","E, 9, 28, 45","17.00","E, 10, 28, 45","16.00","E, 11, 28, 45","29.00","E, 12, 28, 45","29.00","E, 13, 28, 45","29.00","E, 14, 28, 45","29.00","E, 15, 28, 45","27.00","E, 16, 28, 45","25.00","E, 17, 28, 45","24.00","E, 18, 28, 45","22.00","E, 19, 28, 45","33.00","E, 20, 28, 45","28.00","E, 21, 28, 45","6.90","E, 22, 28, 45","3.40","E, 23, 28, 45","6.70","E, 24, 28, 45","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Lower bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","15.00","E, 9, 28, 45","15.00","E, 10, 28, 45","14.00","E, 11, 28, 45","25.00","E, 12, 28, 45","25.00","E, 13, 28, 45","25.00","E, 14, 28, 45","25.00","E, 15, 28, 45","23.00","E, 16, 28, 45","22.00","E, 17, 28, 45","20.00","E, 18, 28, 45","19.00","E, 19, 28, 45","28.00","E, 20, 28, 45","24.00","E, 21, 28, 45","6.00","E, 22, 28, 45","2.90","E, 23, 28, 45","5.70","E, 24, 28, 45","",""
"3","3.3","3.3.2","C030302","Tuberculosis incidence per 100,000 population","SH_TBS_INCD","SD","Tuberculosis incidence per 100,000 population","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","Upper bound","Per 100,000 population","Units","","","","","","","","","","","","","","","","","","","","","20.00","E, 9, 28, 45","20.00","E, 10, 28, 45","18.00","E, 11, 28, 45","34.00","E, 12, 28, 45","34.00","E, 13, 28, 45","34.00","E, 14, 28, 45","34.00","E, 15, 28, 45","31.00","E, 16, 28, 45","29.00","E, 17, 28, 45","27.00","E, 18, 28, 45","26.00","E, 19, 28, 45","38.00","E, 20, 28, 45","33.00","E, 21, 28, 45","8.00","E, 22, 28, 45","3.90","E, 23, 28, 45","7.70","E, 24, 28, 45","",""
"3","3.7","3.7.2","C030702","Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group","SP_DYN_ADKL","SD","Adolescent birth rate per 1,000 adolescent women aged 15-19","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Not available","15 to 19 years old","Total (national level)","Female","","Per 1,000 population","Units","","","","","","","","","","","","","","","","","","","","","","","41.40","C, 10, 29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3.b","3.b.2","C030b02","Total net official development assistance to medical research and basic health sectors","DC_TOF_HLTHL","SD","Total gross official disbursements for medical research and basic heath sectors, by recipient","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Other","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Constant USD","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","NA, 13, 44","0.19","NA, 14, 44","","","","","","","","","","","","","","","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_LSC_GPITCH","SD","Gender parity index of teachers in lower secondary education who are trained","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","1.00","E, 10, 30","1.00","E, 11, 30","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","4.5","4.5.1","C040501","Parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated","SE_PRM_GPITCH","SD","Gender parity index of teachers in primary education who are trained","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Ratio","Units","","","","","","","","","","","","","","","","","","","","","","","0.95","E, 10, 30","0.89","E, 11, 30","0.89","E, 12, 30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","4.a","4.a.1","C040a01","Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)","SE_LSC_CMPTR","SD","Proportion of schools with access to computers for pedagogical purposes, lower secondary level","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 19, 30","","","","","","","","","","","",""
"4","4.a","4.a.1","C040a01","Proportion of schools with access to: (a) electricity; (b) the Internet for pedagogical purposes; (c) computers for pedagogical purposes; (d) adapted infrastructure and materials for students with disabilities; (e) basic drinking water; (f) single-sex basic sanitation facilities; and (g) basic handwashing facilities (as per the WASH indicator definitions)","SE_LSC_ELECT","SD","Proportion of schools with access to electricity, lower secondary level","MDG_LAC_CAR","TCA","Turks and Caicos Islands","","","","Annual","Not available","All age ranges or no breakdown by age","Total (national level)","Both sexes or no breakdown by sex","","Percent","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.00","C, 19, 30","","","","","","","","","","","",""
