list	type	relates_to_goals	count of priority indicators
animals	noun	15	1
cities	noun	11	2
computers	noun	4,9	2
fish	noun	14,15	2
food	noun	2	1
girls	noun	3,5	4
health	noun	3	4
homes	noun	11	1
money	noun	8,9,10	5
nature	noun	15	3
oceans	noun	14	1
people	noun	5,8	2
plants	noun	15	3
pollution	noun	9,11,12	3
poos	noun	6	1
power	noun	7	3
school	noun	4	4
science	noun	4,9,11,12	6
seas	noun	14	1
sharing	verb	1,5,10	4
technology	noun	9	3
transport	noun	3,9	2
water	noun	6	2
weather	noun	9,11	2
working	verb	4,8,9	8
